DCA License Number,License Type,License Expiration Date,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code
0368705-DCA,Business,2025-03-31,AMBER PARK LLC,,101,E 13TH ST,,NEW YORK,NY,10003,2126869800,Manhattan,1
2102371-DCA,Business,2025-03-31,1623 YORK AVENUE PARKING CORP,,1621,YORK AVE,,NEW YORK,NY,10028,2127367171,Manhattan,1
2103294-DCA,Business,2025-03-31,"ONE PARKING GOTHAM, INC.",,4209,28TH ST,,LONG ISLAND CITY,NY,11101,4802722100,Queens,4
1461227-DCA,Business,2025-03-31,"IMPERIAL PARKING (U.S.), LLC",IMPARK,92-30,165TH ST,,JAMAICA,NY,11433,3472733569,Queens,4
2099103-DCA,Business,2025-03-31,EMBASSY GARAGE PARKING PARTNERS LLC,EMBASSY GARAGE,120,E 81ST ST,,NEW YORK,NY,10028,2127440868,Manhattan,1
0901088-DCA,Business,2025-03-31,LTG PARKING CORP.,,150,W END AVE,,NEW YORK,NY,10023,212-686-9800,Manhattan,1
1204173-DCA,Business,2025-03-31,TUNNEL 34 PARKING LLC,,222,E 34TH ST,,NEW YORK,NY,10016,2126869800,Manhattan,1
1319920-DCA,Business,2025-03-31,TOWNHOUSE PARKING LLC,,177,E 73RD ST,,NEW YORK,NY,10021,2122881798,Manhattan,1
2105057-DCA,Business,2025-03-31,MP WEST END PARKING LLC,,55,W END AVE,,NEW YORK,NY,10023,2124903460,Manhattan,1
2009446-DCA,Business,2025-03-31,"CARLYLE CAR PARK, LLC",,53,E 76TH ST,,NEW YORK,NY,10021,2125702182,Manhattan,1
1076826-DCA,Business,2025-03-31,"300 EAST 74TH STREET CAR PARK, LLC",GGMC,300,E 74TH ST,,NEW YORK,NY,10021,2129966363,Manhattan,1
2044842-DCA,Business,2025-03-31,333 EAST 75TH STREET PARKING CORP.,,333,E 75TH ST,,NEW YORK,NY,10021,2127367171,Manhattan,1
2030397-DCA,Business,2025-03-31,"RUPPERT CAR PARK, LLC",,1601,3RD AVE,,NEW YORK,NY,10128,2129966363,Manhattan,1
2055914-DCA,Business,2025-03-31,560 W 43RD STREET PARKING CORP,,555,W 42ND ST,,NEW YORK,NY,10036,9174727056,Manhattan,1
0908745-DCA,Business,2025-03-31,CHAMPION PARKING 77TH ST. CORP.,,49,E 77TH ST,,NEW YORK,NY,10075,2123085959,Manhattan,1
1157180-DCA,Business,2025-03-31,"ALFRED CAR PARK, LLC",GGMC,161,W 61ST ST,,NEW YORK,NY,10023,2129966363,Manhattan,1
1462009-DCA,Business,2025-03-31,"IMPERIAL PARKING (U.S.), LLC",IMPARK,750,AVENUE OF THE AMERICAS,,NEW YORK,NY,10010,2129378660,Manhattan,1
2058615-DCA,Business,2025-03-31,"IMPERIAL PARKING (U.S.), LLC",IMpark,150,NASSAU ST,,NEW YORK,NY,10038,212-937-8660,Manhattan,1
1184264-DCA,Business,2025-03-31,ICE HOUSE PARKING CORP.,,27,N MOORE ST,,NEW YORK,NY,10013,2129299404,Manhattan,1
2099960-DCA,Business,2025-03-31,4162 GARAGE MGMT LLC,,4162,BROADWAY,,NEW YORK,NY,10033,212-289-7200,Manhattan,1
2001881-DCA,Business,2025-03-31,"LAUREATE GARAGE, LLC",,2148,BROADWAY,,NEW YORK,NY,10023,2127502056,Manhattan,1
1460793-DCA,Business,2025-03-31,LTG PARKING CORP.,,205,W END AVE,,NEW YORK,NY,10023,2126869800,Manhattan,1
1440019-DCA,Business,2025-02-28,"SZYMANSKI, THOMAS STANLEY",EAZYLIFT GARAGE DOOR COMPANY,13220,81ST ST,,OZONE PARK,NY,11417,7186419788,Queens,4
0913526-DCA,Business,2025-03-31,CHAMPION PARKING 83RD ST CORP,CHAMPION PARKING 83RD ST,303,E 83RD ST,,NEW YORK,NY,10028,212-308-5959,Manhattan,1
1233571-DCA,Business,2025-03-31,8TH STREET PARKING LLC,,11,5TH AVE,,NEW YORK,NY,10003,2126869800,Manhattan,1
1247021-DCA,Business,2025-03-31,GRAMERCY 24 PARKING LLC,,401,2ND AVE,,NEW YORK,NY,10010,2126869800,Manhattan,1
0469761-DCA,Business,2025-03-31,INTEGRITY PARKING LLC,,315,E 72ND ST,,NEW YORK,NY,10021,2126869800,Manhattan,1
0429690-DCA,Business,2025-03-31,"MUTUAL PARKING, INC.",,605,E 82ND ST,,NEW YORK,NY,10028,2128887400,Manhattan,1
2100843-DCA,Business,2025-03-31,Champion Valet Parking LLC,,10,W 15TH ST,,NEW YORK,NY,10011,212-308-5959,Manhattan,1
1103762-DCA,Business,2025-03-31,SHERMAN PARKING INC.,,210,SHERMAN AVE,,NEW YORK,NY,10034,2125447275,Manhattan,1
2101445-DCA,Business,2025-03-31,NY PARKING 57 LLC,,110,E 57TH ST,,NEW YORK,NY,10022,212-308-5959,Manhattan,1
1010039-DCA,Business,2025-03-31,300 PARKING INC.,,300,W 55TH ST,,NEW YORK,NY,10019,2127367171,Manhattan,1
2076559-DCA,Business,2025-03-31,THE CAR PARK OF NEW YORK LLC,,8036,COOPER AVE,,GLENDALE,NY,11385,208-336-6597,Queens,4
1058507-DCA,Business,2025-03-31,53RD PARKING CORP.,,301,W 53RD ST,,NEW YORK,NY,10019,2127367171,Manhattan,1
1460563-DCA,Business,2025-03-31,LTG PARKING CORP.,,185,W END AVE,,NEW YORK,NY,10023,2126869800,Manhattan,1
0368199-DCA,Business,2025-03-31,"MUTUAL PARKING, INC.",,61,E END AVE,,NEW YORK,NY,10028,2128887400,Manhattan,1
2103292-DCA,Business,2025-03-31,"ONE PARKING 709, INC.",,2830,JACKSON AVE,,LONG ISLAND CITY,NY,11101,5618337222,Queens,4
1420789-DCA,Business,2025-03-31,CHAMPION PARKING 82 LLC,,60,E END AVE,,NEW YORK,NY,10028,212-308-5959,Manhattan,1
2017911-DCA,Business,2025-03-31,SP PLUS CORPORATION,,375,PARK AVE,,NEW YORK,NY,10152,2125025490,Manhattan,1
2106005-DCA,Business,2025-03-31,QUIK PARK HUDSON VI LLC,,40,RIVERSIDE BLVD,,NEW YORK,NY,10069,212-686-9800,Manhattan,1
2003108-DCA,Business,2025-03-31,BEAVER STREET PARKING LLC,,15,WILLIAM ST,,NEW YORK,NY,10004,212-785-9733,Manhattan,1
0761016-DCA,Business,2025-03-31,64TH WEST END PARKING LLC,,110,W END AVE,,NEW YORK,NY,10023,2126869800,Manhattan,1
2091664-DCA,Business,2025-03-31,TRUST UNDER WILL OF IRVING SERVANSKY,210 India Parking,210,INDIA ST,,BROOKLYN,NY,11222,6175476500,Brooklyn,3
1232880-DCA,Business,2025-03-31,MURRAY 38 PARKING LLC,,155,E 38TH ST,,NEW YORK,NY,10016,2126869800,Manhattan,1
2099962-DCA,Business,2025-03-31,ELEMENT GARAGE MGMT LLC,,555,W 59TH ST,,NEW YORK,NY,10019,212-289-7200,Manhattan,1
2097161-DCA,Business,2025-03-31,CHAMPION PARKING CPW LLC,,225,CENTRAL PARK W,,NEW YORK,NY,10024,,Manhattan,1
1312449-DCA,Business,2025-03-31,STELLMAR PARKING LLC,,30,E 65TH ST,,NEW YORK,NY,10065,212-879-8798,Manhattan,1
0760802-DCA,Business,2025-03-31,MERIT PARKING LLC,,12,E 107TH ST,,NEW YORK,NY,10029,2126869800,Manhattan,1
1341242-DCA,Business,2025-03-31,605 PARKING CORP.,,605,PARK AVE,,NEW YORK,NY,10065,2127367171,Manhattan,1
2093300-DCA,Business,2025-03-31,MP LINCOLN SQUARE PARKING LLC,,143,W 68TH ST,,NEW YORK,NY,10023,2124903460,Manhattan,1
0924489-DCA,Business,2025-03-31,CHAMPION BROADWAY PARKING CORP,,60,E 8TH ST,,NEW YORK,NY,10003,212-308-5959,Manhattan,1
2105668-DCA,Business,2025-03-31,ARENA PARKING LLC,ARENA PARKING,700,PACIFIC ST,,BROOKLYN,NY,11217,9175668422,Brooklyn,3
2109749-DCA,Business,2025-03-31,GMH PARK INC,,763,CONCOURSE VLG W,,BRONX,NY,10451,9172140583,Bronx,2
2050301-DCA,Business,2025-03-31,10 WEST 66TH STREET CAR PARK LLC,GGMC,10,W 66TH ST,,NEW YORK,NY,10023,2129966363,Manhattan,1
1400052-DCA,Business,2025-03-31,SHERMAN PARKING SYSTEMS INC.,,361,E 161ST ST,,BRONX,NY,10451,9149601795,Bronx,2
2103110-DCA,Business,2025-03-31,"IMPERIAL PARKING (U.S.), LLC",,135,N 11TH ST,,BROOKLYN,NY,11249,3472733569,Brooklyn,3
2098157-DCA,Business,2025-03-31,257 GOLD STREET PARKING CORP.,,235,GOLD ST,,BROOKLYN,NY,11201,2127367171,Brooklyn,3
1076844-DCA,Business,2025-03-31,"CARNEGIE CAR PARK, INC.",GGMC,40,E 94TH ST,,NEW YORK,NY,10128,2129966363,Manhattan,1
1122008-DCA,Business,2025-03-31,CHAMPION PARKING 75 LLC,,370,E 76TH ST,,NEW YORK,NY,10021,2123085959,Manhattan,1
2092453-DCA,Business,2025-03-31,5 STARS PARKING INC,,120,UNION AVE,,BROOKLYN,NY,11206,9172140583,Brooklyn,3
0920608-DCA,Business,2025-03-31,CAROUSEL PARKING CORP,,201,W 75TH ST,,NEW YORK,NY,10023,2123085959,Manhattan,1
1146424-DCA,Business,2025-03-31,REGAL PARKING CORP.,,9822,63RD DR,,REGO PARK,NY,11374,2127367171,Queens,4
2025565-DCA,Business,2025-03-31,WHITNEY 90 PARKING LLC,,200,E 90TH ST,,NEW YORK,NY,10128,212-686-9800,Manhattan,1
1312853-DCA,Business,2025-03-31,420 EAST 53RD PARKING LLC,,420,E 53RD ST,,NEW YORK,NY,10022,2127595290,Manhattan,1
0976183-DCA,Business,2025-03-31,EVER-READY PARKING INC.,,330,E 46TH ST,,NEW YORK,NY,10017,2127367171,Manhattan,1
1250226-DCA,Business,2025-03-31,HEIGHTS 183 PARKING LLC,,2479,AMSTERDAM AVE,,NEW YORK,NY,10033,2126869800,Manhattan,1
2034908-DCA,Business,2025-03-31,QUIK PARK 365 MANAGEMENT LLC,,365,BOND ST,,BROOKLYN,NY,11231,2126869800,Brooklyn,3
2084142-DCA,Business,2025-03-31,CHAMPION PARKING 245 LLC,,1441,2ND AVE,,NEW YORK,NY,10021,2123085959,Manhattan,1
2106841-DCA,Business,2025-03-31,550 WEST 25TH CAR PARK LLC,GGMC,550,W 25TH ST,,NEW YORK,NY,10001,212996363,Manhattan,1
2047955-DCA,Business,2025-03-31,300 E. 34 PARKING LLC,,300,E 34TH ST,,NEW YORK,NY,10016,212-481-6016,Manhattan,1
1400292-DCA,Business,2025-03-31,"CONNAUGHT CAR PARK, LLC",,300,E 54TH ST,,NEW YORK,NY,10022,2129966363,Manhattan,1
1447270-DCA,Business,2025-03-31,WALL PARK 45 LLC,,45,WALL ST,,NEW YORK,NY,10005,2126869800,Manhattan,1
1185631-DCA,Business,2025-03-31,SUTTON 53 PARKING LLC,,410,E 54TH ST,,NEW YORK,NY,10022,212-686-9800,Manhattan,1
0889934-DCA,Business,2025-03-31,"MUTUAL PARKING SYSTEM, INC.",,340,E 64TH ST,,NEW YORK,NY,10065,2128887400,Manhattan,1
2108051-DCA,Business,2025-03-31,A & J PARKING LLC,,1073,SUMMIT AVE,,BRONX,NY,10452,9143143157,Bronx,2
2019936-DCA,Business,2025-03-31,SP PLUS CORPORATION,,910,9TH AVE,,NEW YORK,NY,10019,2125025490,Manhattan,1
2104241-DCA,Business,2025-03-31,CHAMPION 68 LLC,,80,CENTRAL PARK WEST,,NEW YORK,NY,10023,212,Manhattan,1
2110557-DCA,Business,2025-03-31,3718 HENRY HUDSON PARKING LLC,,3718,HENRY HUDSON PKWY,,BRONX,NY,10463,3473204333,Bronx,2
2109644-DCA,Business,2025-03-31,222 EAST 69TH GARAGE LLC,,222,E 69TH ST,,NEW YORK,NY,10021,2124903460,Manhattan,1
1196302-DCA,Business,2025-03-31,54TH & 2ND PARKING LLC,,300,E 55TH ST,,NEW YORK,NY,10022,2126869800,Manhattan,1
1181124-DCA,Business,2025-03-31,200 EAST PARKING CORP.,,1081,3RD AVE,,NEW YORK,NY,10065,212-736-7171 X1014,Manhattan,1
1356319-DCA,Business,2025-03-31,F & R PARKING LOT CORP.,,65,NEW YORK AVE,,BROOKLYN,NY,11216,7183295670,Brooklyn,3
1437468-DCA,Business,2025-03-31,"W K PARKING, CORP",,525,E 11TH ST,,NEW YORK,NY,10009,9179390977,Manhattan,1
2090192-DCA,Business,2025-03-31,EASTSIDE 27 COMMERCIAL LLC,,200,E 27TH ST,,NEW YORK,NY,10016,2123649704,Manhattan,1
2099853-DCA,Business,2025-03-31,THE ARCHES PARKING CORP,NAGLE PARKING,228,E 135TH ST,,BRONX,NY,10451,9176643792,Bronx,2
2106494-DCA,Business,2025-03-31,SUPER POWER PARK CORP,,164,DYCKMAN ST,,NEW YORK,NY,10040,6468612219,Manhattan,1
1199399-DCA,Business,2025-03-31,215 E 95TH PARKING LLC,,207,E 95TH ST,,NEW YORK,NY,10128,2126869800,Manhattan,1
1181493-DCA,Business,2025-03-31,UPTOWN PARKING LLC,,201,E 63RD ST,,NEW YORK,NY,10065,212-686-9800,Manhattan,1
1246955-DCA,Business,2025-03-31,UNIVERSITY 10 PARKING LLC,,63,E 9TH ST,,NEW YORK,NY,10003,2126869800,Manhattan,1
1417423-DCA,Business,2025-03-31,STAR PARKING GARAGE INC.,,840,WESTCHESTER AVE,,BRONX,NY,10459,718-991-8100,Bronx,2
0367195-DCA,Business,2025-03-31,NEW YORK PARKING 51ST STREET CORP.,,251,E 51ST ST,,NEW YORK,NY,10022,212-308-5959,Manhattan,1
1413293-DCA,Business,2025-03-31,"60 SUTTON PLACE PARKING ASSOCIATES, LLC",,60,SUTTON PL S,,NEW YORK,NY,10022,2125352890,Manhattan,1
2030422-DCA,Business,2025-03-31,"KNICKERBOCKER PLAZA CAR PARK, LLC",,1751,2ND AVE,,NEW YORK,NY,10128,2129966363  X-14,Manhattan,1
2059576-DCA,Business,2025-03-31,21ST AND 11TH PARKING LLC,,551,W 21ST ST,,NEW YORK,NY,10011,212-686-9800,Manhattan,1
0789927-DCA,Business,2025-03-31,SUPERIOR PARKING LLC,,515,E 79TH ST,,NEW YORK,NY,10075,2126869800,Manhattan,1
2109568-DCA,Business,2025-03-31,222 JOHNSON AVE PARKING LLC,NAGLE PARKING,222,JOHNSON AVE,,BROOKLYN,NY,11206,3473204333,Brooklyn,3
2068483-DCA,Business,2025-03-31,QUEENS LIC PARKING LLC,,3002,39TH AVE,,LONG ISLAND CITY,NY,11101,212-686-9800,Queens,4
0992903-DCA,Business,2025-03-31,"SEVEN ELEVEN CAR PARK, LLC",GGMC,711,3RD AVE,,NEW YORK,NY,10017,2129966363,Manhattan,1
2003468-DCA,Business,2025-03-31,QUIK PARK LIBBY 2 LLC,,300,E 48TH ST,,NEW YORK,NY,10017,,Manhattan,1
1461171-DCA,Business,2025-03-31,CHAMPION PARKING 230 LLC,,230,W 55TH ST,,NEW YORK,NY,10019,2123085959,Manhattan,1
1218380-DCA,Business,2025-03-31,444 MANHATTAN PARKING CORP.,,309,W 118TH ST,,NEW YORK,NY,10026,,Manhattan,1
