DCA License Number,License Type,License Expiration Date,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code
2097174-DCA,Business,04/24/2022,1 EZ PARK CORP,,6298,WOODHAVEN BLVD,,MIDDLE VILLAGE,NY,11379,9298017013,Queens,4
2101166-DCA,Business,03/31/2025,CHAMPION PARKING YORK LLC,,1514-1520,YORK AVE,,NEW YORK,NY,10028,2123085959,Manhattan,1
1413026-DCA,Business,03/31/2025,420 EAST 51ST PARKING PARTNERS LLC,,420,E 51ST ST,,NEW YORK,NY,10022,2128387565,Manhattan,1
2068797-DCA,Business,11/23/2020,MODA CAR PARK LLC,,8914,PARSONS BLVD,,JAMAICA,NY,11432,212-996-6363 EXT.214,Queens,4
2104052-DCA,Business,08/09/2023,NEW 786 NY PARKING CORP,,1755,WATSON AVE,,BRONX,NY,10472,7186180276,Bronx,2
1232463-DCA,Business,03/31/2021,LAFAYETTE PLACE PARKING LLC,,445,LAFAYETTE ST,,NEW YORK,NY,10003,2127771659,Manhattan,1
2068603-DCA,Business,,2211 3RD AVE PARKING LLC,,2211,3RD AVE,,NEW YORK,NY,10035,347-589-4139,Manhattan,1
1376342-DCA,Business,03/31/2025,QUIK PARK EAST 73RD ST LLC,,524,E 73RD ST,,NEW YORK,NY,10021,2126869800,Manhattan,1
2003723-DCA,Business,03/31/2023,BK PARKING GROUP INC.,,4566,BROADWAY,,NEW YORK,NY,10040,917-327-7488,Manhattan,1
2103992-DCA,Business,03/06/2022,CORAL CAR PARK LLC,,525,WEST 122ND ST,,NEW YORK,NY,10027,212-996-6363,Manhattan,1
2107689-DCA,Business,03/31/2025,NEW 786 NY PARKING CORP,,14238,37TH AVE,,FLUSHING,NY,11354,7186180276,Queens,4
2115077-DCA,Business,03/31/2025,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",,185,PACIFIC ST,,BROOKLYN,NY,11201,7184072575,Brooklyn,3
2105671-DCA,Business,07/28/2022,Propark America New York LLC,Propark Mobility,155,Richmond Terrace,,Staten Island,NY,10301,9144786300,Staten Island,5
2054449-DCA,Business,03/31/2025,PROPARK AMERICA NEW YORK LLC,,11045,QUEENS BLVD,,FOREST HILLS,NY,11375,5169289767,Queens,4
2111188-DCA,Business,03/31/2025,PROPARK AMERICA NEW YORK LLC,,139,CHARLES STREET,,NEW YORK,NY,10014,5169289767,Manhattan,1
2112582-DCA,Business,07/31/2023,NEW 786 NY PARKING CORP,,250,E 144TH ST,,BRONX,NY,10451,7186180276,Bronx,2
2114995-DCA,Business,03/31/2025,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",,70,E 10TH ST,,NEW YORK,NY,10003,7184072575,Manhattan,1
2107805-DCA,Business,07/17/2023,24 LEONARD PARKING LLC,,24,LEONARD ST,,NEW YORK,NY,10013,516-314-5331,Manhattan,1
2111502-DCA,Business,07/31/2023,NEW 786 NY PARKING CORP,,253,E 142ND ST,,BRONX,NY,10451,7186180276,Bronx,2
2024293-DCA,Business,05/27/2017,PROPARK AMERICA NEW YORK LLC,,9015,QUEENS BLVD,,ELMHURST,NY,11373,5169289767,Queens,4
2110927-DCA,Business,04/10/2023,NEW 786 NY PARKING CORP,,187,KENT AVE,,BROOKLYN,NY,11249,7186180276,Brooklyn,3
1209498-DCA,Business,03/31/2023,CHAMPION PARKING 36 LLC,,30,PARK AVE,,NEW YORK,NY,10016,2123085959,Manhattan,1
2113394-DCA,Business,03/31/2025,1134 FULTON PARKING CORP,,1134,FULTON ST,,BROOKLYN,NY,11216,9176643792,Brooklyn,3
2079187-DCA,Business,03/31/2021,BROOKLYN PARKING LLC,,741,61ST ST,,BROOKLYN,NY,11220,2123085959,Brooklyn,3
2113253-DCA,Business,07/26/2023,PROPARK AMERICA NEW YORK LLC,,626,SHEEPSHEAD BAY RD,,BROOKLYN,NY,11224,5169289767,Brooklyn,3
2112088-DCA,Business,10/09/2023,QUIK PARK CRESCENT LLC,,4308,CRESCENT ST,,LONG ISLAND CITY,NY,11101,212-686-9800,Queens,4
2106567-DCA,Business,08/10/2023,95 MP PARKING INC,,95,WALL ST,,NEW YORK,NY,10005,,Manhattan,1
0367816-DCA,Business,03/31/2025,"PARK-SERV, INC.",,140-166,W 53RD ST,,NEW YORK,NY,10019,2126869800,Manhattan,1
1387896-DCA,Business,03/31/2025,3480 THIRD AVENUE PARKING INC.,,3480,3RD AVE,,BRONX,NY,10456,3472844141,Bronx,2
2101646-DCA,Business,03/31/2025,80 PARK GARAGE MGMT LLC,,74-82,PARK AVE,,NEW YORK,NY,10016,212-289-7200,Manhattan,1
0899744-DCA,Business,03/31/2025,COSMOPOLITAN PARKING CORP.,SAA,34,E 21ST ST,,NEW YORK,NY,10010,2122493344,Manhattan,1
1222882-DCA,Business,03/31/2025,"50 EAST 79TH STREET CAR PARK, LLC",GGMC,50,E 79TH ST,,NEW YORK,NY,10075,2128790670,Manhattan,1
0888537-DCA,Business,03/31/2025,SAFEWAY PARKING CORP.,,345,E 86TH ST,,NEW YORK,NY,10028,2124109603,Manhattan,1
2115151-DCA,Business,03/31/2025,333 EAST 34TH GARAGE LLC,,333,E 34TH ST,,NEW YORK,NY,10016,212-289-7200,Manhattan,1
2078630-DCA,Business,03/31/2021,"IMPERIAL PARKING (U.S.), LLC",IMPARK,330,E 75TH ST,,NEW YORK,NY,10021,212-937-8660,Manhattan,1
2054793-DCA,Business,03/31/2025,SP PLUS CORPORATION,,1292,PARK AVE,,NEW YORK,NY,10029,2125025490,Manhattan,1
2101647-DCA,Business,03/31/2025,CPW GARAGE LLC,,455,CENTRAL PARK W,,NEW YORK,NY,10025,2122897200,Manhattan,1
0368238-DCA,Business,03/31/2025,NEW YORK PARKING 56TH ST. CORP,,65,W 56TH ST,,NEW YORK,NY,10019,2123085959,Manhattan,1
1251169-DCA,Business,03/31/2025,315 EAST 65TH PARKING LLC,,322,E 66TH ST,,NEW YORK,NY,10065,212-570-1732,Manhattan,1
0906120-DCA,Business,03/31/2025,OXFORD PARKING CORP.,,333,E 49TH ST,,NEW YORK,NY,10017,212-308-5959,Manhattan,1
2114767-DCA,Business,03/31/2025,Rego Center Garage LLC,,9605,queens blvd,,REGO PARK,NY,11374,2128947000,Queens,4
0367984-DCA,Business,03/31/2025,DISTINCTIVE PARKING LLC,,35,E 61ST ST,,NEW YORK,NY,10065,212-686-9800,Manhattan,1
2101909-DCA,Business,07/17/2023,Propark America New York LLC,Propark Mobility,13437,35TH AVE,,FLUSHING,NY,11354,9144786300,Queens,4
2105919-DCA,Business,03/31/2025,LTG PARKING CORP.,,165,W END AVE,,NEW YORK,NY,10023,212-686-9800,Manhattan,1
2043391-DCA,Business,03/31/2025,AZ Parking Corp.,,35,W 33RD ST,,NEW YORK,NY,10001,9292940009,Manhattan,1
0368822-DCA,Business,03/31/2021,OMNI PARKING LLC,,143,W 68TH ST,,NEW YORK,NY,10023,2126869800,Manhattan,1
1312446-DCA,Business,03/31/2025,STELLMAR PARKING LLC,,27,E 65TH ST,,NEW YORK,NY,10065,212-879-8798,Manhattan,1
2115139-DCA,Business,03/31/2025,MP WEST 95 PARKING LLC,,70,W 95TH ST,,NEW YORK,NY,10025,2124903460,Manhattan,1
2054279-DCA,Business,06/13/2017,"87-10 NORTHERN BLVD PARKING, LLC",,3306,88TH ST,,JACKSON HEIGHTS,NY,11372,7184246555,Queens,4
2080975-DCA,Business,03/31/2025,900 8TH AVENUE GARAGE LLC,,900,8TH AVE,,NEW YORK,NY,10019,6465840409,Manhattan,1
2096915-DCA,Business,03/31/2025,"IMPERIAL PARKING (U.S.), LLC",,9605,QUEENS BLVD,,REGO PARK,NY,11374,2129378660,Queens,4
2079755-DCA,Business,03/31/2025,MP 425 EAST LLC,,425,E 79TH ST,,NEW YORK,NY,10075,2124903460,Manhattan,1
1461273-DCA,Business,03/31/2025,"IMPERIAL PARKING (U.S.), LLC",IMPARK,724-732,AVENUE OF THE AMERICAS,,NEW YORK,NY,10010,2129378660,Manhattan,1
2055928-DCA,Business,03/31/2025,SP PLUS CORPORATION,,9844,57TH AVE,,CORONA,NY,11368,2125025490,Queens,4
2001457-DCA,Business,03/31/2025,CHAMPION PARKING MIDTOWN LLC,,224,E 39TH ST,,NEW YORK,NY,10016,212-308-5959,Manhattan,1
1213869-DCA,Business,03/31/2025,BROADWAY & 64TH PARKING LLC,ICON PARKING,1900,BROADWAY,,NEW YORK,NY,10023,212-686-9800,Manhattan,1
2069414-DCA,Business,03/31/2025,RIVER PARK TOWERS GARAGE LLC,,55,RICHMAN PLZ,,BRONX,NY,10453,6465840409,Bronx,2
2094858-DCA,Business,03/31/2025,PPS STANWIX LLC,,115,STANWIX ST,,BROOKLYN,NY,11206,2123606300,Brooklyn,3
1370726-DCA,Business,03/31/2025,"BAS PARKING, INC.",,530,E 72ND ST,,NEW YORK,NY,10021,2126289447,Manhattan,1
1022575-DCA,Business,03/31/2023,"101 CAR PARK, LLC",,101,W 23RD ST,,NEW YORK,NY,10011,2122216111,Manhattan,1
1093313-DCA,Business,03/31/2025,CHAMPION PARKING 57 LLC,,316,W 57TH ST,,NEW YORK,NY,10019,2123085959,Manhattan,1
1461250-DCA,Business,03/31/2025,"IMPERIAL PARKING (U.S.), LLC",IMPARK,89-35,162ND ST,,JAMAICA,NY,11432,2129378660,Queens,4
2107054-DCA,Business,03/31/2025,"COVE CLUB CAR PARK, LLC",GGMC,2,S END AVE,,NEW YORK,NY,10280,2129966363,Manhattan,1
2038250-DCA,Business,03/31/2021,"87-10 NORTHERN BLVD PARKING, LLC",,3306,88TH ST,,JACKSON HEIGHTS,NY,11372,7184246555,Queens,4
2089751-DCA,Business,03/31/2023,J P PARKING II CORP,,4501,BROADWAY,,NEW YORK,NY,10040,2018000358,Manhattan,1
2113374-DCA,Business,10/15/2023,685 1ST AVENUE PARKING CORP.,,685,1ST AVE,,NEW YORK,NY,10016,2127367171,Manhattan,1
2065563-DCA,Business,09/21/2023,PARKING SYSTEMS PLUS INC,,280,BAYCHESTER AVE,,BRONX,NY,10475,8009441424,Bronx,2
2099103-DCA,Business,03/31/2025,EMBASSY GARAGE PARKING PARTNERS LLC,EMBASSY GARAGE,120,E 81ST ST,,NEW YORK,NY,10028,2127440868,Manhattan,1
0901088-DCA,Business,03/31/2025,LTG PARKING CORP.,,150,W END AVE,,NEW YORK,NY,10023,212-686-9800,Manhattan,1
1204173-DCA,Business,03/31/2025,TUNNEL 34 PARKING LLC,,222,E 34TH ST,,NEW YORK,NY,10016,2126869800,Manhattan,1
1319920-DCA,Business,03/31/2025,TOWNHOUSE PARKING LLC,,177,E 73RD ST,,NEW YORK,NY,10021,2122881798,Manhattan,1
2105057-DCA,Business,03/31/2025,MP WEST END PARKING LLC,,55,W END AVE,,NEW YORK,NY,10023,2124903460,Manhattan,1
2009446-DCA,Business,03/31/2025,"CARLYLE CAR PARK, LLC",,53,E 76TH ST,,NEW YORK,NY,10021,2125702182,Manhattan,1
1076826-DCA,Business,03/31/2025,"300 EAST 74TH STREET CAR PARK, LLC",GGMC,300,E 74TH ST,,NEW YORK,NY,10021,2129966363,Manhattan,1
1242325-DCA,Business,10/15/2023,"OCHRE CAR PARK, LLC",,625,ATLANTIC AVE,,BROOKLYN,NY,11217,2129966363,Brooklyn,3
2030397-DCA,Business,03/31/2025,"RUPPERT CAR PARK, LLC",,1601,3RD AVE,,NEW YORK,NY,10128,2129966363,Manhattan,1
2004674-DCA,Business,03/18/2020,QUIK PARK CRESCENT LLC,,4308,CRESCENT ST,,LONG ISLAND CITY,NY,11101,212-686-9800,Queens,4
0908745-DCA,Business,03/31/2025,CHAMPION PARKING 77TH ST. CORP.,,49,E 77TH ST,,NEW YORK,NY,10075,2123085959,Manhattan,1
1157180-DCA,Business,03/31/2025,"ALFRED CAR PARK, LLC",GGMC,161,W 61ST ST,,NEW YORK,NY,10023,2129966363,Manhattan,1
1462009-DCA,Business,03/31/2025,"IMPERIAL PARKING (U.S.), LLC",IMPARK,750,AVENUE OF THE AMERICAS,,NEW YORK,NY,10010,2129378660,Manhattan,1
2058615-DCA,Business,03/31/2025,"IMPERIAL PARKING (U.S.), LLC",IMpark,150,NASSAU ST,,NEW YORK,NY,10038,212-937-8660,Manhattan,1
1184264-DCA,Business,03/31/2025,ICE HOUSE PARKING CORP.,,27,N MOORE ST,,NEW YORK,NY,10013,2129299404,Manhattan,1
2099960-DCA,Business,03/31/2025,4162 GARAGE MGMT LLC,,4162,BROADWAY,,NEW YORK,NY,10033,212-289-7200,Manhattan,1
2001881-DCA,Business,03/31/2025,"LAUREATE GARAGE, LLC",,2148,BROADWAY,,NEW YORK,NY,10023,2127502056,Manhattan,1
1460793-DCA,Business,03/31/2025,LTG PARKING CORP.,,205,W END AVE,,NEW YORK,NY,10023,2126869800,Manhattan,1
1307224-DCA,Business,03/31/2017,"LIBERTY VIEW PARKING, LLC",,2,RIVER TER,,NEW YORK,NY,10282,212-686-9800,Manhattan,1
0913526-DCA,Business,03/31/2025,CHAMPION PARKING 83RD ST CORP,CHAMPION PARKING 83RD ST,303,E 83RD ST,,NEW YORK,NY,10028,212-308-5959,Manhattan,1
1233571-DCA,Business,03/31/2025,8TH STREET PARKING LLC,,11,5TH AVE,,NEW YORK,NY,10003,2126869800,Manhattan,1
2104317-DCA,Business,08/10/2023,SP PLUS CORPORATION,,9777,QUEENS BLVD,,REGO PARK,NY,11374,2123217542,Queens,4
0469761-DCA,Business,03/31/2025,INTEGRITY PARKING LLC,,315,E 72ND ST,,NEW YORK,NY,10021,2126869800,Manhattan,1
0429690-DCA,Business,03/31/2025,"MUTUAL PARKING, INC.",,605,E 82ND ST,,NEW YORK,NY,10028,2128887400,Manhattan,1
2100843-DCA,Business,03/31/2025,Champion Valet Parking LLC,,10,W 15TH ST,,NEW YORK,NY,10011,212-308-5959,Manhattan,1
1103762-DCA,Business,03/31/2025,SHERMAN PARKING INC.,,210,SHERMAN AVE,,NEW YORK,NY,10034,2125447275,Manhattan,1
2101445-DCA,Business,03/31/2025,NY PARKING 57 LLC,,110,E 57TH ST,,NEW YORK,NY,10022,212-308-5959,Manhattan,1
2063931-DCA,Business,07/17/2023,LM DRIGGS PARKING LLC,,247,METROPOLITAN AVE,,BROOKLYN,NY,11211,212-714-3571,Brooklyn,3
2076559-DCA,Business,03/31/2025,THE CAR PARK OF NEW YORK LLC,,8036,COOPER AVE,,GLENDALE,NY,11385,208-336-6597,Queens,4
2065561-DCA,Business,10/16/2023,PARKING SYSTEMS PLUS INC,,260,BAYCHESTER AVE,,BRONX,NY,10475,8009441424,Bronx,2
1460563-DCA,Business,03/31/2025,LTG PARKING CORP.,,185,W END AVE,,NEW YORK,NY,10023,2126869800,Manhattan,1
0368199-DCA,Business,03/31/2025,"MUTUAL PARKING, INC.",,61,E END AVE,,NEW YORK,NY,10028,2128887400,Manhattan,1
2053069-DCA,Business,03/31/2021,PROPARK AMERICA NEW YORK LLC,,920,PARK AVE,,NEW YORK,NY,10028,5169289767,Manhattan,1
1420789-DCA,Business,03/31/2025,CHAMPION PARKING 82 LLC,,60,E END AVE,,NEW YORK,NY,10028,212-308-5959,Manhattan,1
2017911-DCA,Business,03/31/2025,SP PLUS CORPORATION,,375,PARK AVE,,NEW YORK,NY,10152,2125025490,Manhattan,1
2106005-DCA,Business,03/31/2025,QUIK PARK HUDSON VI LLC,,40,RIVERSIDE BLVD,,NEW YORK,NY,10069,212-686-9800,Manhattan,1
2003108-DCA,Business,03/31/2025,BEAVER STREET PARKING LLC,,15,WILLIAM ST,,NEW YORK,NY,10004,212-785-9733,Manhattan,1
0761016-DCA,Business,03/31/2025,64TH WEST END PARKING LLC,,110,W END AVE,,NEW YORK,NY,10023,2126869800,Manhattan,1
2091664-DCA,Business,03/31/2025,TRUST UNDER WILL OF IRVING SERVANSKY,210 India Parking,210,INDIA ST,,BROOKLYN,NY,11222,6175476500,Brooklyn,3
1232880-DCA,Business,03/31/2025,MURRAY 38 PARKING LLC,,155,E 38TH ST,,NEW YORK,NY,10016,2126869800,Manhattan,1
2099962-DCA,Business,03/31/2025,ELEMENT GARAGE MGMT LLC,,555,W 59TH ST,,NEW YORK,NY,10019,212-289-7200,Manhattan,1
2097161-DCA,Business,03/31/2025,CHAMPION PARKING CPW LLC,,225,CENTRAL PARK W,,NEW YORK,NY,10024,,Manhattan,1
1312449-DCA,Business,03/31/2025,STELLMAR PARKING LLC,,30,E 65TH ST,,NEW YORK,NY,10065,212-879-8798,Manhattan,1
0760802-DCA,Business,03/31/2025,MERIT PARKING LLC,,12,E 107TH ST,,NEW YORK,NY,10029,2126869800,Manhattan,1
2038910-DCA,Business,01/13/2020,FULTON LAWRENCE PARKING LLC,,111,LAWRENCE ST,,BROOKLYN,NY,11201,2126869800,Brooklyn,3
2093300-DCA,Business,03/31/2025,MP LINCOLN SQUARE PARKING LLC,,143,W 68TH ST,,NEW YORK,NY,10023,2124903460,Manhattan,1
0924489-DCA,Business,03/31/2025,CHAMPION BROADWAY PARKING CORP,,60,E 8TH ST,,NEW YORK,NY,10003,212-308-5959,Manhattan,1
2105668-DCA,Business,03/31/2025,ARENA PARKING LLC,ARENA PARKING,700,PACIFIC ST,,BROOKLYN,NY,11217,9175668422,Brooklyn,3
2109749-DCA,Business,03/31/2025,GMH PARK INC,,763,CONCOURSE VLG W,,BRONX,NY,10451,9172140583,Bronx,2
2050301-DCA,Business,03/31/2025,10 WEST 66TH STREET CAR PARK LLC,GGMC,10,W 66TH ST,,NEW YORK,NY,10023,2129966363,Manhattan,1
1400052-DCA,Business,03/31/2025,SHERMAN PARKING SYSTEMS INC.,,361,E 161ST ST,,BRONX,NY,10451,9149601795,Bronx,2
2110333-DCA,Business,01/02/2023,NEW 786 NY PARKING CORP,,1880,BATHGATE AVE,,BRONX,NY,10457,7186180276,Bronx,2
2109173-DCA,Business,10/10/2023,CLINTON 53 PARKING LLC,,515,W 52ND ST,,NEW YORK,NY,10019,212-686-9800,Manhattan,1
1076844-DCA,Business,03/31/2025,"CARNEGIE CAR PARK, INC.",GGMC,40,E 94TH ST,,NEW YORK,NY,10128,2129966363,Manhattan,1
1122008-DCA,Business,03/31/2025,CHAMPION PARKING 75 LLC,,370,E 76TH ST,,NEW YORK,NY,10021,2123085959,Manhattan,1
2106135-DCA,Business,07/20/2022,QUIK PARK CRESCENT LLC,,4308,CRESCENT ST,,LONG ISLAND CITY,NY,11101,212-686-9800,Queens,4
0920608-DCA,Business,03/31/2025,CAROUSEL PARKING CORP,,201,W 75TH ST,,NEW YORK,NY,10023,2123085959,Manhattan,1
2105164-DCA,Business,09/19/2022,NEW 786 NY PARKING CORP,,1880,BATHGATE AVE,,BRONX,NY,10457,7186180276,Bronx,2
2025565-DCA,Business,03/31/2025,WHITNEY 90 PARKING LLC,,200,E 90TH ST,,NEW YORK,NY,10128,212-686-9800,Manhattan,1
1312853-DCA,Business,03/31/2025,420 EAST 53RD PARKING LLC,,420,E 53RD ST,,NEW YORK,NY,10022,2127595290,Manhattan,1
2110619-DCA,Business,07/18/2023,C & C PARKING LLC,,899,WESTCHESTER AVE,,BRONX,NY,10459,3474314926,Bronx,2
1250226-DCA,Business,03/31/2025,HEIGHTS 183 PARKING LLC,,2479,AMSTERDAM AVE,,NEW YORK,NY,10033,2126869800,Manhattan,1
2034908-DCA,Business,03/31/2025,QUIK PARK 365 MANAGEMENT LLC,,365,BOND ST,,BROOKLYN,NY,11231,2126869800,Brooklyn,3
2084142-DCA,Business,03/31/2025,CHAMPION PARKING 245 LLC,,1441,2ND AVE,,NEW YORK,NY,10021,2123085959,Manhattan,1
2106841-DCA,Business,03/31/2025,550 WEST 25TH CAR PARK LLC,GGMC,550,W 25TH ST,,NEW YORK,NY,10001,212996363,Manhattan,1
2047955-DCA,Business,03/31/2025,300 E. 34 PARKING LLC,,300,E 34TH ST,,NEW YORK,NY,10016,212-481-6016,Manhattan,1
1400292-DCA,Business,03/31/2025,"CONNAUGHT CAR PARK, LLC",,300,E 54TH ST,,NEW YORK,NY,10022,2129966363,Manhattan,1
1451674-DCA,Business,12/08/2013,PROPARK AMERICA NEW YORK LLC,,11215,NORTHERN BLVD,,CORONA,NY,11368,5169289767,Queens,4
1412773-DCA,Business,03/31/2021,RECTOR WEST PARKING LLC,,200,RECTOR PL,,NEW YORK,NY,10280,2127864796,Manhattan,1
0889934-DCA,Business,03/31/2025,"MUTUAL PARKING SYSTEM, INC.",,340,E 64TH ST,,NEW YORK,NY,10065,2128887400,Manhattan,1
2108051-DCA,Business,03/31/2025,A & J PARKING LLC,,1073,SUMMIT AVE,,BRONX,NY,10452,9143143157,Bronx,2
2019936-DCA,Business,03/31/2025,SP PLUS CORPORATION,,910,9TH AVE,,NEW YORK,NY,10019,2125025490,Manhattan,1
2104241-DCA,Business,03/31/2025,CHAMPION 68 LLC,,80,CENTRAL PARK WEST,,NEW YORK,NY,10023,212,Manhattan,1
2110557-DCA,Business,03/31/2025,3718 HENRY HUDSON PARKING LLC,,3718,HENRY HUDSON PKWY,,BRONX,NY,10463,3473204333,Bronx,2
2109644-DCA,Business,03/31/2025,222 EAST 69TH GARAGE LLC,,222,E 69TH ST,,NEW YORK,NY,10021,2124903460,Manhattan,1
1196302-DCA,Business,03/31/2025,54TH & 2ND PARKING LLC,,300,E 55TH ST,,NEW YORK,NY,10022,2126869800,Manhattan,1
1293753-DCA,Business,03/31/2021,QUIK PARK STANDARD LLC,,101,PARK AVE,,NEW YORK,NY,10178,2128322066,Manhattan,1
1356319-DCA,Business,03/31/2025,F & R PARKING LOT CORP.,,65,NEW YORK AVE,,BROOKLYN,NY,11216,7183295670,Brooklyn,3
1437468-DCA,Business,03/31/2025,"W K PARKING, CORP",,525,E 11TH ST,,NEW YORK,NY,10009,9179390977,Manhattan,1
2090192-DCA,Business,03/31/2025,EASTSIDE 27 COMMERCIAL LLC,,200,E 27TH ST,,NEW YORK,NY,10016,2123649704,Manhattan,1
2099853-DCA,Business,03/31/2025,THE ARCHES PARKING CORP,NAGLE PARKING,228,E 135TH ST,,BRONX,NY,10451,9176643792,Bronx,2
2106494-DCA,Business,03/31/2025,SUPER POWER PARK CORP,,164,DYCKMAN ST,,NEW YORK,NY,10040,6468612219,Manhattan,1
1199399-DCA,Business,03/31/2025,215 E 95TH PARKING LLC,,207,E 95TH ST,,NEW YORK,NY,10128,2126869800,Manhattan,1
0368546-DCA,Business,03/31/2021,CREATIVE PARKING LLC,,16,W 16TH ST,,NEW YORK,NY,10011,2122429635,Manhattan,1
1246955-DCA,Business,03/31/2025,UNIVERSITY 10 PARKING LLC,,63,E 9TH ST,,NEW YORK,NY,10003,2126869800,Manhattan,1
1417423-DCA,Business,03/31/2025,STAR PARKING GARAGE INC.,,840,WESTCHESTER AVE,,BRONX,NY,10459,718-991-8100,Bronx,2
0367195-DCA,Business,03/31/2025,NEW YORK PARKING 51ST STREET CORP.,,251,E 51ST ST,,NEW YORK,NY,10022,212-308-5959,Manhattan,1
1413293-DCA,Business,03/31/2025,"60 SUTTON PLACE PARKING ASSOCIATES, LLC",,60,SUTTON PL S,,NEW YORK,NY,10022,2125352890,Manhattan,1
2030422-DCA,Business,03/31/2025,"KNICKERBOCKER PLAZA CAR PARK, LLC",,1751,2ND AVE,,NEW YORK,NY,10128,2129966363  X-14,Manhattan,1
2059576-DCA,Business,03/31/2025,21ST AND 11TH PARKING LLC,,551,W 21ST ST,,NEW YORK,NY,10011,212-686-9800,Manhattan,1
0789927-DCA,Business,03/31/2025,SUPERIOR PARKING LLC,,515,E 79TH ST,,NEW YORK,NY,10075,2126869800,Manhattan,1
2109568-DCA,Business,03/31/2025,222 JOHNSON AVE PARKING LLC,NAGLE PARKING,222,JOHNSON AVE,,BROOKLYN,NY,11206,3473204333,Brooklyn,3
2068483-DCA,Business,03/31/2025,QUEENS LIC PARKING LLC,,3002,39TH AVE,,LONG ISLAND CITY,NY,11101,212-686-9800,Queens,4
0992903-DCA,Business,03/31/2025,"SEVEN ELEVEN CAR PARK, LLC",GGMC,711,3RD AVE,,NEW YORK,NY,10017,2129966363,Manhattan,1
2064173-DCA,Business,03/31/2023,JKH BUSINESS CORP,,1579,UNDERCLIFF AVE,,BRONX,NY,10453,,Bronx,2
1461171-DCA,Business,03/31/2025,CHAMPION PARKING 230 LLC,,230,W 55TH ST,,NEW YORK,NY,10019,2123085959,Manhattan,1
