DCA License Number,License Type,License Expiration Date,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,License Creation Date,Industry,Detail,Community Board,Council District,BIN,BBL,NTA,Census Tract,Longitude,Latitude,Location
1061198-DCA,Business,2025-03-31,101 WEST END PARKING LLC,,101,W END AVE,,NEW YORK,NY,10023,2126869800,Manhattan,1,2006-05-11,Garage,"Vehicle Spaces: 166, Bicycle Spaces: 16",107,6,1085785,1011710062,MN14,151,-73.98863409148143,40.77506478010212,"(40.77506478010212, -73.98863409148143)"
2107689-DCA,Business,2025-03-31,NEW 786 NY PARKING CORP,,14238,37TH AVE,,FLUSHING,NY,11354,7186180276,Queens,4,2022-07-22,Garage,"Vehicle Spaces: 105, Bicycle Spaces: 11",407,20,4595176,4050117504,,,-73.82658658406363,40.76264662506418,"(40.76264662506418, -73.82658658406363)"
2115077-DCA,Business,2025-03-31,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",,185,PACIFIC ST,,BROOKLYN,NY,11201,7184072575,Brooklyn,3,2023-07-14,Garage,"Vehicle Spaces: 150, Bicycle Spaces: 15",306,39,3002988,3002867502,,,-73.99336159441195,40.68922844728341,"(40.68922844728341, -73.99336159441195)"
2054449-DCA,Business,2025-03-31,PROPARK AMERICA NEW YORK LLC,,11045,QUEENS BLVD,,FOREST HILLS,NY,11375,5169289767,Queens,4,2017-06-14,Garage and Parking Lot,"Vehicle Spaces: 87, Bicycle Spaces: 8",406,29,4052598,4022380001,QN17,75701,-73.83909836891209,40.7192948930886,"(40.7192948930886, -73.83909836891209)"
2111188-DCA,Business,2025-03-31,PROPARK AMERICA NEW YORK LLC,,139,CHARLES STREET,,NEW YORK,NY,10014,5169289767,Manhattan,1,2023-02-23,Garage and Parking Lot,"Vehicle Spaces: 35, Bicycle Spaces: 0",102,03,1000000,1006320001,,,-74.00847589774291,40.7341518478714,"(40.7341518478714, -74.00847589774291)"
2114995-DCA,Business,2025-03-31,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",,70,E 10TH ST,,NEW YORK,NY,10003,7184072575,Manhattan,1,2023-07-11,Garage,"Vehicle Spaces: 255, Bicycle Spaces: 21",102,02,1009114,1005620034,,,-73.99211611520983,40.73202470539408,"(40.73202470539408, -73.99211611520983)"
2103406-DCA,Business,2025-03-31,"ONE PARKING 703, INC.",,21010,23RD AVE,,BAYSIDE,NY,11360,5618337222,Queens,4,2022-01-11,Garage,"Vehicle Spaces: 702, Bicycle Spaces: 16",407,19,4131229,4058937501,,,-73.78095382312794,40.779295392459005,"(40.779295392459005, -73.78095382312794)"
1320741-DCA,Business,2025-03-31,201 PEARL PARKING CORP.,,201,PEARL ST,,NEW YORK,NY,10038,2127367171,Manhattan,1,2009-06-02,Garage,"Vehicle Spaces: 44, Bicycle Spaces:",101,1,1087832,1000690006,MN25,1502,-74.0067411431161,40.706767502627876,"(40.706767502627876, -74.0067411431161)"
2113394-DCA,Business,2025-03-31,1134 FULTON PARKING CORP,,1134,FULTON ST,,BROOKLYN,NY,11216,9176643792,Brooklyn,3,2023-05-15,Garage,"Vehicle Spaces: 73, Bicycle Spaces: 7",303,36,3057751,3020170008,,,-73.95548015830848,40.68108726828097,"(40.68108726828097, -73.95548015830848)"
2068286-DCA,Business,2025-03-31,2 NORTH 6TH PARKING CORP,,2,N 6TH ST,,BROOKLYN,NY,11249,2127367171,Brooklyn,3,2018-03-23,Garage,"Vehicle Spaces: 160, Bicycle Spaces: 16",301,33,,,BK73,555,-73.96313084405962,40.72027974697928,"(40.72027974697928, -73.96313084405962)"
1172406-DCA,Business,2025-03-31,PARK KWIK LLC,,55,WASHINGTON ST,,BROOKLYN,NY,11201,7182222500,Brooklyn,3,2004-06-30,Garage,"Vehicle Spaces: 115, Bicycle Spaces: 12",302,33,3000088,3000380001,BK38,21,-73.9896021730919,40.70272968157668,"(40.70272968157668, -73.9896021730919)"
0367816-DCA,Business,2025-03-31,"PARK-SERV, INC.",,140-166,W 53RD ST,,NEW YORK,NY,10019,2126869800,Manhattan,1,2006-05-16,Garage,"Vehicle Spaces: 260, Bicycle Spaces: 21",105,04,1023159,1010050001,,,-73.9810627676493,40.76261089837474,"(40.76261089837474, -73.9810627676493)"
1387896-DCA,Business,2025-03-31,3480 THIRD AVENUE PARKING INC.,,3480,3RD AVE,,BRONX,NY,10456,3472844141,Bronx,2,2013-03-21,Garage,"Vehicle Spaces: 125, Bicycle Spaces: 13",203,16,2118328,2026090501,BX01,145,-73.9062330772249,40.83016876027181,"(40.83016876027181, -73.9062330772249)"
2101646-DCA,Business,2025-03-31,80 PARK GARAGE MGMT LLC,,74-82,PARK AVE,,NEW YORK,NY,10016,212-289-7200,Manhattan,1,2021-09-21,Parking Lot,"Vehicle Spaces: 91, Bicycle Spaces: 9",106,04,1017361,1008687502,,,-73.97931233756475,40.74988321351058,"(40.74988321351058, -73.97931233756475)"
0899744-DCA,Business,2025-03-31,COSMOPOLITAN PARKING CORP.,SAA,34,E 21ST ST,,NEW YORK,NY,10010,2122493344,Manhattan,1,1997-04-14,Garage and Parking Lot,"Vehicle Spaces: 36, Bicycle Spaces:",105,2,1084663,1008490053,MN13,52,-73.98891079060768,40.73957251265653,"(40.73957251265653, -73.98891079060768)"
1222882-DCA,Business,2025-03-31,"50 EAST 79TH STREET CAR PARK, LLC",GGMC,50,E 79TH ST,,NEW YORK,NY,10075,2128790670,Manhattan,1,2006-04-06,Garage,"Vehicle Spaces: 48, Bicycle Spaces:",108,4,1041883,1013930052,MN40,142,-73.96161599460098,40.77609645836829,"(40.77609645836829, -73.96161599460098)"
0888537-DCA,Business,2025-03-31,SAFEWAY PARKING CORP.,,345,E 86TH ST,,NEW YORK,NY,10028,2124109603,Manhattan,1,1997-03-07,Garage,"Vehicle Spaces: 56, Bicycle Spaces: 5",108,5,1050030,1015490018,MN32,14602,-73.95063887095594,40.777417987056,"(40.777417987056, -73.95063887095594)"
2115151-DCA,Business,2025-03-31,333 EAST 34TH GARAGE LLC,,333,E 34TH ST,,NEW YORK,NY,10016,212-289-7200,Manhattan,1,2023-07-18,Garage and Parking Lot,"Vehicle Spaces: 56, Bicycle Spaces: 6",106,04,1021903,1009407501,,,-73.97472722078362,40.74430496890765,"(40.74430496890765, -73.97472722078362)"
2054793-DCA,Business,2025-03-31,SP PLUS CORPORATION,,1292,PARK AVE,,NEW YORK,NY,10029,2125025490,Manhattan,1,2017-06-21,Garage,"Vehicle Spaces: 581, Bicycle Spaces: 24",111,08,,,MN33,168,-73.95133865857356,40.78822705003492,"(40.78822705003492, -73.95133865857356)"
2101647-DCA,Business,2025-03-31,CPW GARAGE LLC,,455,CENTRAL PARK W,,NEW YORK,NY,10025,2122897200,Manhattan,1,2021-09-21,Garage,"Vehicle Spaces: 66, Bicycle Spaces: 7",107,07,1081578,1018417503,,,-73.96011535593696,40.79793853232898,"(40.79793853232898, -73.96011535593696)"
0368238-DCA,Business,2025-03-31,NEW YORK PARKING 56TH ST. CORP,,65,W 56TH ST,,NEW YORK,NY,10019,2123085959,Manhattan,1,1997-04-10,Garage,"Vehicle Spaces: 80, Bicycle Spaces: 8",105,4,1035037,1012720001,MN17,11201,-73.97641311026375,40.76312056238381,"(40.76312056238381, -73.97641311026375)"
1251169-DCA,Business,2025-03-31,315 EAST 65TH PARKING LLC,,322,E 66TH ST,,NEW YORK,NY,10065,212-570-1732,Manhattan,1,2007-04-02,Garage,"Vehicle Spaces: 50, Bicycle Spaces:",108,5,1078376,1014400005,MN31,118,-73.96042768193381,40.764675194289836,"(40.764675194289836, -73.96042768193381)"
0906120-DCA,Business,2025-03-31,OXFORD PARKING CORP.,,333,E 49TH ST,,NEW YORK,NY,10017,212-308-5959,Manhattan,1,1997-04-10,Garage,"Vehicle Spaces: 51, Bicycle Spaces: 5",106,5,1080442,1013420012,MN19,98,-73.96807874069368,40.75387699991748,"(40.75387699991748, -73.96807874069368)"
2114767-DCA,Business,2025-03-31,Rego Center Garage LLC,,9605,queens blvd,,REGO PARK,NY,11374,2128947000,Queens,4,2023-06-29,Garage,"Vehicle Spaces: 1265, Bicycle Spaces: 31",406,24,4050422,4020880001,,,-73.86182417053554,40.73043794685661,"(40.73043794685661, -73.86182417053554)"
0367984-DCA,Business,2025-03-31,DISTINCTIVE PARKING LLC,,35,E 61ST ST,,NEW YORK,NY,10065,212-686-9800,Manhattan,1,2006-05-18,Garage,"Vehicle Spaces: 129, Bicycle Spaces: 12",108,4,1040855,1013760036,MN40,11401,-73.97014566672321,40.764702825040494,"(40.764702825040494, -73.97014566672321)"
2105919-DCA,Business,2025-03-31,LTG PARKING CORP.,,165,W END AVE,,NEW YORK,NY,10023,212-686-9800,Manhattan,1,2022-05-11,Garage,"Vehicle Spaces: 445, Bicycle Spaces: 22",107,06,1070746,1011797501,,,-73.98652154333283,40.77701880522641,"(40.77701880522641, -73.98652154333283)"
2043391-DCA,Business,2025-03-31,AZ Parking Corp.,,35,W 33RD ST,,NEW YORK,NY,10001,9292940009,Manhattan,1,2016-09-07,Garage,"Vehicle Spaces: 34, Bicycle Spaces: 0",105,04,1084660,1008350015,MN17,76,-73.98621337110704,40.748270334370325,"(40.748270334370325, -73.98621337110704)"
1312446-DCA,Business,2025-03-31,STELLMAR PARKING LLC,,27,E 65TH ST,,NEW YORK,NY,10065,212-879-8798,Manhattan,1,2009-03-26,Garage,"Vehicle Spaces: 31, Bicycle Spaces:",108,4,1041128,1013800023,MN40,122,-73.96844055824718,40.76725498013537,"(40.76725498013537, -73.96844055824718)"
2115139-DCA,Business,2025-03-31,MP WEST 95 PARKING LLC,,70,W 95TH ST,,NEW YORK,NY,10025,2124903460,Manhattan,1,2023-07-17,Garage,"Vehicle Spaces: 142, Bicycle Spaces: 14",107,06,1079519,1012080001,,,-73.96748265531872,40.79195184670799,"(40.79195184670799, -73.96748265531872)"
2096915-DCA,Business,2025-03-31,"IMPERIAL PARKING (U.S.), LLC",,9605,QUEENS BLVD,,REGO PARK,NY,11374,2129378660,Queens,4,2020-11-13,Garage,"Vehicle Spaces: 1265, Bicycle Spaces: 31",406,29,4050415,4020840101,,,-73.8624164534643,40.730169669701205,"(40.730169669701205, -73.8624164534643)"
1461273-DCA,Business,2025-03-31,"IMPERIAL PARKING (U.S.), LLC",IMPARK,724-732,AVENUE OF THE AMERICAS,,NEW YORK,NY,10010,2129378660,Manhattan,1,2013-04-01,Garage,"Vehicle Spaces: 150, Bicycle Spaces: 15",105,03,1000000,1008250082,,,-73.99257310811807,40.74320960220436,"(40.74320960220436, -73.99257310811807)"
2055928-DCA,Business,2025-03-31,SP PLUS CORPORATION,,9844,57TH AVE,,CORONA,NY,11368,2125025490,Queens,4,2017-07-18,Garage and Parking Lot,"Vehicle Spaces: 194, Bicycle Spaces: 19",404,21,4047329,4019180082,QN25,455,-73.86098918092571,40.7380838355146,"(40.7380838355146, -73.86098918092571)"
2001457-DCA,Business,2025-03-31,CHAMPION PARKING MIDTOWN LLC,,224,E 39TH ST,,NEW YORK,NY,10016,212-308-5959,Manhattan,1,2013-12-10,Garage,"Vehicle Spaces: 86, Bicycle Spaces: 10",106,04,1020361,1009190042,MN20,78,-73.97474732269983,40.7483973944109,"(40.7483973944109, -73.97474732269983)"
1213869-DCA,Business,2025-03-31,BROADWAY & 64TH PARKING LLC,ICON PARKING,1900,BROADWAY,,NEW YORK,NY,10023,212-686-9800,Manhattan,1,2006-05-17,Garage,"Vehicle Spaces: 400, Bicycle Spaces: 22",107,6,1027472,1011160501,MN14,149,-73.98215055305542,40.771517756240904,"(40.771517756240904, -73.98215055305542)"
2069414-DCA,Business,2025-03-31,RIVER PARK TOWERS GARAGE LLC,,55,RICHMAN PLZ,,BRONX,NY,10453,6465840409,Bronx,2,2018-04-13,Garage,"Vehicle Spaces: 800, Bicycle Spaces: 26",205,16,2116450,2028820229,BX36,53,-73.92230554575585,40.85219053269003,"(40.85219053269003, -73.92230554575585)"
2094858-DCA,Business,2025-03-31,PPS STANWIX LLC,,115,STANWIX ST,,BROOKLYN,NY,11206,2123606300,Brooklyn,3,2020-02-27,Garage and Parking Lot,"Vehicle Spaces: 65, Bicycle Spaces: 7",304,34,3426343,3031390021,,,-73.9353125081528,40.70222889514506,"(40.70222889514506, -73.9353125081528)"
1370726-DCA,Business,2025-03-31,"BAS PARKING, INC.",,530,E 72ND ST,,NEW YORK,NY,10021,2126289447,Manhattan,1,2010-09-14,Garage,"Vehicle Spaces: 44, Bicycle Spaces:",108,5,1046259,1014830028,MN31,124,-73.95306566166602,40.766552578515366,"(40.766552578515366, -73.95306566166602)"
1093313-DCA,Business,2025-03-31,CHAMPION PARKING 57 LLC,,316,W 57TH ST,,NEW YORK,NY,10019,2123085959,Manhattan,1,2001-09-07,Garage,"Vehicle Spaces: 372, Bicycle Spaces: 21",104,6,1025450,1010470503,MN15,139,-73.98363189062222,40.76702483684617,"(40.76702483684617, -73.98363189062222)"
1116799-DCA,Business,2025-03-31,EAST 97TH PARKING CORP.,,175,E 96TH ST,,NEW YORK,NY,10128,2123488364,Manhattan,1,2004-09-22,Garage,"Vehicle Spaces: 209, Bicycle Spaces: 20",111,8,1082901,1016240033,MN33,15802,-73.94993236337781,40.78545426730592,"(40.78545426730592, -73.94993236337781)"
1461250-DCA,Business,2025-03-31,"IMPERIAL PARKING (U.S.), LLC",IMPARK,89-35,162ND ST,,JAMAICA,NY,11432,2129378660,Queens,4,2013-04-01,Garage,"Vehicle Spaces: 405, Bicycle Spaces: 22",412,24,4565232,4097610018,,,-73.7985836319317,40.70578726376039,"(40.70578726376039, -73.7985836319317)"
2107054-DCA,Business,2025-03-31,"COVE CLUB CAR PARK, LLC",GGMC,2,S END AVE,,NEW YORK,NY,10280,2129966363,Manhattan,1,2022-06-28,Garage,"Vehicle Spaces: 69, Bicycle Spaces: 7",101,01,1082813,1000167511,,,-74.0176557112128,40.70803717159958,"(40.70803717159958, -74.0176557112128)"
2099103-DCA,Business,2025-03-31,EMBASSY GARAGE PARKING PARTNERS LLC,EMBASSY GARAGE,120,E 81ST ST,,NEW YORK,NY,10028,2127440868,Manhattan,1,2021-06-03,Garage,"Vehicle Spaces: 94, Bicycle Spaces: 9",108,04,1047536,1015090056,,,-73.95838069661235,40.77645489584078,"(40.77645489584078, -73.95838069661235)"
1204173-DCA,Business,2025-03-31,TUNNEL 34 PARKING LLC,,222,E 34TH ST,,NEW YORK,NY,10016,2126869800,Manhattan,1,2009-03-05,Garage,"Vehicle Spaces: 190, Bicycle Spaces: 10",106,2,1088117,1009140036,MN20,70,-73.97709429151544,40.74527985017423,"(40.74527985017423, -73.97709429151544)"
1319920-DCA,Business,2025-03-31,TOWNHOUSE PARKING LLC,,177,E 73RD ST,,NEW YORK,NY,10021,2122881798,Manhattan,1,2009-05-27,Garage,"Vehicle Spaces: 115, Bicycle Spaces: 12",108,4,1043045,1014080031,MN40,128,-73.96077067757834,40.77071923095086,"(40.77071923095086, -73.96077067757834)"
2105057-DCA,Business,2025-03-31,MP WEST END PARKING LLC,,55,W END AVE,,NEW YORK,NY,10023,2124903460,Manhattan,1,2022-04-06,Garage,"Vehicle Spaces: 375, Bicycle Spaces: 22",107,06,1087719,1011710063,,,-73.9886811994225,40.77405746597447,"(40.77405746597447, -73.9886811994225)"
2009446-DCA,Business,2025-03-31,"CARLYLE CAR PARK, LLC",,53,E 76TH ST,,NEW YORK,NY,10021,2125702182,Manhattan,1,2014-06-10,Garage,"Vehicle Spaces: 119, Bicycle Spaces: 19",108,04,1041797,1013910021,MN40,130,-73.96299631788466,40.77414540134402,"(40.77414540134402, -73.96299631788466)"
1076826-DCA,Business,2025-03-31,"300 EAST 74TH STREET CAR PARK, LLC",GGMC,300,E 74TH ST,,NEW YORK,NY,10021,2129966363,Manhattan,1,2001-04-06,Garage,"Vehicle Spaces: 94, Bicycle Spaces: 9",108,5,1089033,1014480003,MN31,126,-73.95705257462451,40.76996310160079,"(40.76996310160079, -73.95705257462451)"
2051104-DCA,Business,2025-03-31,LENOX PARKING GARAGE LLC,,380,LENOX AVE,,NEW YORK,NY,10027,2032029746,Manhattan,1,2017-04-12,Garage and Parking Lot,"Vehicle Spaces: 77, Bicycle Spaces: 8",110,09,1081375,1017277501,MN03,208,-73.94357018002275,40.810378951035936,"(40.810378951035936, -73.94357018002275)"
2030397-DCA,Business,2025-03-31,"RUPPERT CAR PARK, LLC",,1601,3RD AVE,,NEW YORK,NY,10128,2129966363,Manhattan,1,2015-11-12,Garage,"Vehicle Spaces: 220, Bicycle Spaces: 22",108,05,1086170,1015367501,MN32,154,-73.95204410072269,40.78147530043751,"(40.78147530043751, -73.95204410072269)"
0908745-DCA,Business,2025-03-31,CHAMPION PARKING 77TH ST. CORP.,,49,E 77TH ST,,NEW YORK,NY,10075,2123085959,Manhattan,1,2001-03-28,Garage,"Vehicle Spaces: 113, Bicycle Spaces: 11",108,4,1072068,1013920501,MN40,142,-73.9627106944501,40.77485345167708,"(40.77485345167708, -73.9627106944501)"
1157180-DCA,Business,2025-03-31,"ALFRED CAR PARK, LLC",GGMC,161,W 61ST ST,,NEW YORK,NY,10023,2129966363,Manhattan,1,2005-07-27,Garage,"Vehicle Spaces: 140, Bicycle Spaces: 14",107,6,1070131,1011320501,MN14,145,-73.98605694822305,40.77140576087256,"(40.77140576087256, -73.98605694822305)"
1462009-DCA,Business,2025-03-31,"IMPERIAL PARKING (U.S.), LLC",IMPARK,750,AVENUE OF THE AMERICAS,,NEW YORK,NY,10010,2129378660,Manhattan,1,2013-04-09,Garage,"Vehicle Spaces: 73, Bicycle Spaces: 7",105,3,1085951,1008260001,MN13,58,-73.99198477843711,40.74401377456903,"(40.74401377456903, -73.99198477843711)"
2058615-DCA,Business,2025-03-31,"IMPERIAL PARKING (U.S.), LLC",IMpark,150,NASSAU ST,,NEW YORK,NY,10038,212-937-8660,Manhattan,1,2017-09-25,Garage,"Vehicle Spaces: 25, Bicycle Spaces: 0",101,01,1087756,1001007501,MN25,1501,-74.00621137332946,40.71140892683577,"(40.71140892683577, -74.00621137332946)"
1184264-DCA,Business,2025-03-31,ICE HOUSE PARKING CORP.,,27,N MOORE ST,,NEW YORK,NY,10013,2129299404,Manhattan,1,2011-04-15,Garage,"Vehicle Spaces: 76, Bicycle Spaces: 8",101,1,1002167,1001900504,MN24,33,-74.00748561724612,40.71985447979465,"(40.71985447979465, -74.00748561724612)"
2099960-DCA,Business,2025-03-31,4162 GARAGE MGMT LLC,,4162,BROADWAY,,NEW YORK,NY,10033,212-289-7200,Manhattan,1,2021-07-07,Parking Lot,"Vehicle Spaces: 163, Bicycle Spaces: 16",112,10,1063559,1021450012,,,-73.938175252836,40.84706204129148,"(40.84706204129148, -73.938175252836)"
2001881-DCA,Business,2025-03-31,"LAUREATE GARAGE, LLC",,2148,BROADWAY,,NEW YORK,NY,10023,2127502056,Manhattan,1,2013-12-23,Garage and Parking Lot,"Vehicle Spaces: 155, Bicycle Spaces: 16",107,06,1088786,1011677502,MN12,163,-73.98117658662161,40.781384930869976,"(40.781384930869976, -73.98117658662161)"
1460793-DCA,Business,2025-03-31,LTG PARKING CORP.,,205,W END AVE,,NEW YORK,NY,10023,2126869800,Manhattan,1,2013-03-26,Garage,"Vehicle Spaces: 276, Bicycle Spaces: 20",107,6,1070766,1011790503,MN14,155,-73.98593274328807,40.77828954785315,"(40.77828954785315, -73.98593274328807)"
0913526-DCA,Business,2025-03-31,CHAMPION PARKING 83RD ST CORP,CHAMPION PARKING 83RD ST,303,E 83RD ST,,NEW YORK,NY,10028,212-308-5959,Manhattan,1,1997-04-14,Garage,"Vehicle Spaces: 128, Bicycle Spaces: 11",108,5,1049916,1015460001,MN32,138,-73.95277393363378,40.77576654999439,"(40.77576654999439, -73.95277393363378)"
1233571-DCA,Business,2025-03-31,8TH STREET PARKING LLC,,11,5TH AVE,,NEW YORK,NY,10003,2126869800,Manhattan,1,2006-07-19,Garage,"Vehicle Spaces: 113, Bicycle Spaces: 11",102,2,1009222,1005660001,MN23,59,-73.9962258166025,40.73240643430964,"(40.73240643430964, -73.9962258166025)"
1036915-DCA,Business,2025-03-31,160 PARKING CORP.,,160,E 65TH ST,,NEW YORK,NY,10065,2127367171,Manhattan,1,2000-06-08,Garage,"Vehicle Spaces: 150, Bicycle Spaces: 15",108,4,1042369,1013990033,MN40,120,-73.96473382779567,40.76567567891482,"(40.76567567891482, -73.96473382779567)"
0469761-DCA,Business,2025-03-31,INTEGRITY PARKING LLC,,315,E 72ND ST,,NEW YORK,NY,10021,2126869800,Manhattan,1,2006-05-15,Garage,"Vehicle Spaces: 60, Bicycle Spaces: 6",108,5,1044878,1014470009,MN31,126,-73.95776107303384,40.768558056499195,"(40.768558056499195, -73.95776107303384)"
0429690-DCA,Business,2025-03-31,"MUTUAL PARKING, INC.",,605,E 82ND ST,,NEW YORK,NY,10028,2128887400,Manhattan,1,1997-04-14,Garage,"Vehicle Spaces: 110, Bicycle Spaces: 11",108,5,1051381,1015900007,MN32,136,-73.94629946047505,40.772214767689476,"(40.772214767689476, -73.94629946047505)"
2100843-DCA,Business,2025-03-31,Champion Valet Parking LLC,,10,W 15TH ST,,NEW YORK,NY,10011,212-308-5959,Manhattan,1,2021-08-17,Garage,"Vehicle Spaces: 117, Bicycle Spaces: 12",105,03,1078686,1008160031,,,-73.99379706962925,40.7369653648558,"(40.7369653648558, -73.99379706962925)"
1103762-DCA,Business,2025-03-31,SHERMAN PARKING INC.,,210,SHERMAN AVE,,NEW YORK,NY,10034,2125447275,Manhattan,1,2002-03-18,Garage,"Vehicle Spaces: 77, Bicycle Spaces: 8",112,10,1078953,1022260029,MN01,293,-73.9208510667768,40.86549036494962,"(40.86549036494962, -73.9208510667768)"
2101445-DCA,Business,2025-03-31,NY PARKING 57 LLC,,110,E 57TH ST,,NEW YORK,NY,10022,212-308-5959,Manhattan,1,2021-09-13,Garage,"Vehicle Spaces: 43, Bicycle Spaces: 0",105,04,1036897,1013110065,,,-73.97006777235084,40.761310302917984,"(40.761310302917984, -73.97006777235084)"
2076559-DCA,Business,2025-03-31,THE CAR PARK OF NEW YORK LLC,,8036,COOPER AVE,,GLENDALE,NY,11385,208-336-6597,Queens,4,2018-08-02,Garage,"Vehicle Spaces: 662, Bicycle Spaces: 25",405,30,4439863,4038100350,QN19,637,-73.86835222186359,40.70984615528326,"(40.70984615528326, -73.86835222186359)"
1416193-DCA,Business,2025-03-31,SUPREME 85 PARKING LLC,,85,LIVINGSTON ST,,BROOKLYN,NY,11201,718-694-2060,Brooklyn,3,2012-01-03,Garage,"Vehicle Spaces: 160, Bicycle Spaces: 16",302,33,3002556,3002660012,BK09,9,-73.99082636537561,40.691429578417775,"(40.691429578417775, -73.99082636537561)"
1460563-DCA,Business,2025-03-31,LTG PARKING CORP.,,185,W END AVE,,NEW YORK,NY,10023,2126869800,Manhattan,1,2013-03-22,Garage,"Vehicle Spaces: 411, Bicycle Spaces: 22",107,6,1070754,1011790502,MN14,155,-73.9860086872017,40.777721396672796,"(40.777721396672796, -73.9860086872017)"
0368199-DCA,Business,2025-03-31,"MUTUAL PARKING, INC.",,61,E END AVE,,NEW YORK,NY,10028,2128887400,Manhattan,1,1997-05-09,Garage,"Vehicle Spaces: 69, Bicycle Spaces: 6",108,5,1051382,1015900008,MN32,136,-73.94657727560529,40.77244271018476,"(40.77244271018476, -73.94657727560529)"
1420789-DCA,Business,2025-03-31,CHAMPION PARKING 82 LLC,,60,E END AVE,,NEW YORK,NY,10028,212-308-5959,Manhattan,1,2012-03-05,Garage,"Vehicle Spaces: 120, Bicycle Spaces: 12",108,5,1051164,1015790023,MN32,136,-73.94655917747835,40.77250034131399,"(40.77250034131399, -73.94655917747835)"
2017911-DCA,Business,2025-03-31,SP PLUS CORPORATION,,375,PARK AVE,,NEW YORK,NY,10152,2125025490,Manhattan,1,2015-02-03,Garage,"Vehicle Spaces: 150, Bicycle Spaces: 15",105,04,1036465,1013070001,MN19,100,-73.9728014005628,40.75878581642611,"(40.75878581642611, -73.9728014005628)"
