DCA License Number,License Expiration Date,License Creation Date,Industry,Detail,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Longitude,Latitude,Location
2101166-DCA,03/31/2025,08/26/2021,Garage,"Vehicle Spaces: 108, Bicycle Spaces: 11",CHAMPION PARKING YORK LLC,,1514-1520,YORK AVE,,NEW YORK,NY,10028,2123085959,Manhattan,1,108,05,1050869,1015770001,,,-73.9498231760505,40.77221361132007,"(40.77221361132007, -73.9498231760505)"
2087595-DCA,03/31/2025,06/25/2019,Garage,"Vehicle Spaces: 100, Bicycle Spaces: 10",MP BATTERY 70 LLC,,70,LITTLE WEST ST,,NEW YORK,NY,10004,2124903460,Manhattan,1,101,01,1087842,1000167517,MN25,31704,-74.01651929972803,40.70706020441675,"(40.70706020441675, -74.01651929972803)"
1413026-DCA,03/31/2025,11/04/2011,Garage,"Vehicle Spaces: 105, Bicycle Spaces: 11",420 EAST 51ST PARKING PARTNERS LLC,,420,E 51ST ST,,NEW YORK,NY,10022,2128387565,Manhattan,1,106,5,1040114,1013620041,MN19,8603,-73.96494204046672,40.75417801007669,"(40.75417801007669, -73.96494204046672)"
2020005-DCA,03/31/2025,03/25/2015,Garage,"Vehicle Spaces: 300, Bicycle Spaces: 21",SP PLUS CORPORATION,,222,E 65TH ST,,NEW YORK,NY,10065,2125025490,Manhattan,1,108,04,1043869,1014197503,MN31,118,-73.96316023019945,40.76501370372331,"(40.76501370372331, -73.96316023019945)"
2104052-DCA,08/09/2023,02/22/2022,Garage,"Vehicle Spaces: 124, Bicycle Spaces: 13",NEW 786 NY PARKING CORP,,1755,WATSON AVE,,BRONX,NY,10472,7186180276,Bronx,2,209,18,2024208,2037510001,,,-73.86680027932992,40.8276432432853,"(40.8276432432853, -73.86680027932992)"
1376342-DCA,03/31/2025,03/04/2013,Garage,"Vehicle Spaces: 320, Bicycle Spaces: 21",QUIK PARK EAST 73RD ST LLC,,524,E 73RD ST,,NEW YORK,NY,10021,2126869800,Manhattan,1,108,5,1046269,1014840035,MN31,124,-73.95181993445908,40.76690888069089,"(40.76690888069089, -73.95181993445908)"
2102600-DCA,09/03/2023,11/15/2021,Garage,"Vehicle Spaces: 252, Bicycle Spaces: 21",PROPARK AMERICA NEW YORK LLC,,8808,JUSTICE AVE,,ELMHURST,NY,11373,5169289767,Queens,4,404,25,4596930,4018420039,,,-73.87505381831023,40.73688677185528,"(40.73688677185528, -73.87505381831023)"
2102157-DCA,07/31/2023,10/18/2021,Garage,"Vehicle Spaces: 255, Bicycle Spaces: 21",PROPARK AMERICA NEW YORK LLC,,2315,44TH DR,,LONG ISLAND CITY,NY,11101,5169289767,Queens,4,402,26,4005166,4004377502,,,-73.94454007167371,40.74757436495783,"(40.74757436495783, -73.94454007167371)"
2100144-DCA,03/31/2025,07/15/2021,Garage,"Vehicle Spaces: 72, Bicycle Spaces: 7",CHAMPION 80 LLC,,445,E 80TH ST,,NEW YORK,NY,10075,212-308-5959,Manhattan,1,108,05,1050368,1015600021,,,-73.95066426029554,40.77238963782523,"(40.77238963782523, -73.95066426029554)"
2109818-DCA,09/04/2023,11/16/2022,Parking Lot,"Vehicle Spaces: 23, Bicycle Spaces: 0",142ND ST. PARKING INC,PARKING SYSTEMS,14230,135TH AVE,,JAMAICA,NY,11436,8009441424,Queens,4,412,28,4607473,4120990001,,,-73.79688752224527,40.66821101506932,"(40.66821101506932, -73.79688752224527)"
2107689-DCA,03/31/2025,07/22/2022,Garage,"Vehicle Spaces: 105, Bicycle Spaces: 11",NEW 786 NY PARKING CORP,,14238,37TH AVE,,FLUSHING,NY,11354,7186180276,Queens,4,407,20,4595176,4050117504,,,-73.82658658406363,40.76264662506418,"(40.76264662506418, -73.82658658406363)"
2115077-DCA,03/31/2025,07/14/2023,Garage,"Vehicle Spaces: 150, Bicycle Spaces: 15","LAZ PARKING NEW YORK/NEW JERSEY, LLC",,185,PACIFIC ST,,BROOKLYN,NY,11201,7184072575,Brooklyn,3,306,39,3002988,3002867502,,,-73.99336159441195,40.68922844728341,"(40.68922844728341, -73.99336159441195)"
2093210-DCA,03/31/2025,12/27/2019,Garage,"Vehicle Spaces: 94, Bicycle Spaces: 9",PROPARK AMERICA NEW YORK LLC,,21,COOK ST,,BROOKLYN,NY,11206,5169289767,Brooklyn,3,301,34,3394953,3031137501,,,-73.94313872455292,40.70228517800903,"(40.70228517800903, -73.94313872455292)"
2054449-DCA,03/31/2025,06/14/2017,Garage and Parking Lot,"Vehicle Spaces: 87, Bicycle Spaces: 8",PROPARK AMERICA NEW YORK LLC,,11045,QUEENS BLVD,,FOREST HILLS,NY,11375,5169289767,Queens,4,406,29,4052598,4022380001,QN17,75701,-73.83909836891209,40.7192948930886,"(40.7192948930886, -73.83909836891209)"
2111188-DCA,03/31/2025,02/23/2023,Garage and Parking Lot,"Vehicle Spaces: 35, Bicycle Spaces: 0",PROPARK AMERICA NEW YORK LLC,,139,CHARLES STREET,,NEW YORK,NY,10014,5169289767,Manhattan,1,102,03,1000000,1006320001,,,-74.00847589774291,40.7341518478714,"(40.7341518478714, -74.00847589774291)"
2112582-DCA,07/31/2023,04/18/2023,Garage,"Vehicle Spaces: 62, Bicycle Spaces: 6",NEW 786 NY PARKING CORP,,250,E 144TH ST,,BRONX,NY,10451,7186180276,Bronx,2,201,08,2127297,2023347501,,,-73.92493487656203,40.81568210590894,"(40.81568210590894, -73.92493487656203)"
2114995-DCA,03/31/2025,07/11/2023,Garage,"Vehicle Spaces: 255, Bicycle Spaces: 21","LAZ PARKING NEW YORK/NEW JERSEY, LLC",,70,E 10TH ST,,NEW YORK,NY,10003,7184072575,Manhattan,1,102,02,1009114,1005620034,,,-73.99211611520983,40.73202470539408,"(40.73202470539408, -73.99211611520983)"
0959355-DCA,03/31/2025,04/25/1997,Garage,"Vehicle Spaces: 200, Bicycle Spaces: 20","DUFORD STUDIO GARAGE COMPANY, LLC",,127,E 83RD ST,,NEW YORK,NY,10028,2128887400,Manhattan,1,108,4,1047648,1015120014,MN40,140,-73.95743029494066,40.77773085137098,"(40.77773085137098, -73.95743029494066)"
2115152-DCA,03/31/2025,07/18/2023,Garage,"Vehicle Spaces: 121, Bicycle Spaces: 12",100 UN PLAZA GARAGE LLC,,329,E 48TH ST,,NEW YORK,NY,10017,212-289-7200,Manhattan,1,106,04,1039205,1013417503,,,-73.96865650960127,40.75330350657198,"(40.75330350657198, -73.96865650960127)"
2051271-DCA,03/31/2025,04/17/2017,Garage,"Vehicle Spaces: 149, Bicycle Spaces: 15",PROPARK AMERICA NEW YORK LLC,,148,E 33RD ST,,NEW YORK,NY,10016,5169289767,Manhattan,1,106,02,1018489,1008880051,MN20,72,-73.97981892850703,40.7455603242637,"(40.7455603242637, -73.97981892850703)"
2111502-DCA,07/31/2023,03/09/2023,Garage,"Vehicle Spaces: 68, Bicycle Spaces: 7",NEW 786 NY PARKING CORP,,253,E 142ND ST,,BRONX,NY,10451,7186180276,Bronx,2,201,08,2127296,2023347501,,,-73.9251453898462,40.81481491086839,"(40.81481491086839, -73.9251453898462)"
2113677-DCA,08/07/2023,05/24/2023,Parking Lot,"Vehicle Spaces: 275, Bicycle Spaces: 20",PROPARK AMERICA NEW YORK LLC,PROPARK MOBILITY,532,NEPTUNE AVE,,BROOKLYN,NY,11224,5169289767,Brooklyn,3,313,48,3426198,3072737501,,,-73.9730254612614,40.57986766144209,"(40.57986766144209, -73.9730254612614)"
2103412-DCA,08/07/2023,01/11/2022,Garage,"Vehicle Spaces: 70, Bicycle Spaces: 7",55 W 46TH STREET GARAGE LLC,,44,W 47TH ST,,NEW YORK,NY,10036,6465740045,Manhattan,1,105,04,1034346,1012627502,,,-73.98004639150709,40.757272200144484,"(40.757272200144484, -73.98004639150709)"
2113394-DCA,03/31/2025,05/15/2023,Garage,"Vehicle Spaces: 73, Bicycle Spaces: 7",1134 FULTON PARKING CORP,,1134,FULTON ST,,BROOKLYN,NY,11216,9176643792,Brooklyn,3,303,36,3057751,3020170008,,,-73.95548015830848,40.68108726828097,"(40.68108726828097, -73.95548015830848)"
0695802-DCA,03/31/2025,04/14/1997,Garage,"Vehicle Spaces: 1361, Bicycle Spaces: 31",RIVERBAY CORPORATION,,99,ERSKINE PL,,BRONX,NY,10475,7183203391,Bronx,2,210,12,2099380,2051410440,,,-73.82608969453128,40.869994805158335,"(40.869994805158335, -73.82608969453128)"
2113253-DCA,07/26/2023,05/10/2023,Garage and Parking Lot,"Vehicle Spaces: 88, Bicycle Spaces: 9",PROPARK AMERICA NEW YORK LLC,,626,SHEEPSHEAD BAY RD,,BROOKLYN,NY,11224,5169289767,Brooklyn,3,313,48,3426835,3072790006,,,-73.97526136888828,40.57897884852958,"(40.57897884852958, -73.97526136888828)"
2112088-DCA,10/09/2023,04/03/2023,Garage,"Vehicle Spaces: 202, Bicycle Spaces: 20",QUIK PARK CRESCENT LLC,,4308,CRESCENT ST,,LONG ISLAND CITY,NY,11101,212-686-9800,Queens,4,402,26,4539949,4004350013,,,-73.94230509057014,40.748720572201215,"(40.748720572201215, -73.94230509057014)"
2106567-DCA,08/10/2023,06/07/2022,Garage,"Vehicle Spaces: 97, Bicycle Spaces: 10",95 MP PARKING INC,,95,WALL ST,,NEW YORK,NY,10005,,Manhattan,1,101,01,1000864,1000330011,,,-74.00748754821632,40.704931209203224,"(40.704931209203224, -74.00748754821632)"
0367816-DCA,03/31/2025,05/16/2006,Garage,"Vehicle Spaces: 260, Bicycle Spaces: 21","PARK-SERV, INC.",,140-166,W 53RD ST,,NEW YORK,NY,10019,2126869800,Manhattan,1,105,04,1023159,1010050001,,,-73.9810627676493,40.76261089837474,"(40.76261089837474, -73.9810627676493)"
0959098-DCA,03/31/2025,04/23/1997,Garage,"Vehicle Spaces: 57, Bicycle Spaces: 5","COPLEY ASSOCIATES, LLC",COPLEY GARAGE,2000,BROADWAY,,NEW YORK,NY,10023,212-888-7400,Manhattan,1,107,6,1070362,1011400502,MN14,153,-73.98214945684576,40.775607416026595,"(40.775607416026595, -73.98214945684576)"
1387896-DCA,03/31/2025,03/21/2013,Garage,"Vehicle Spaces: 125, Bicycle Spaces: 13",3480 THIRD AVENUE PARKING INC.,,3480,3RD AVE,,BRONX,NY,10456,3472844141,Bronx,2,203,16,2118328,2026090501,BX01,145,-73.9062330772249,40.83016876027181,"(40.83016876027181, -73.9062330772249)"
2101646-DCA,03/31/2025,09/21/2021,Parking Lot,"Vehicle Spaces: 91, Bicycle Spaces: 9",80 PARK GARAGE MGMT LLC,,74-82,PARK AVE,,NEW YORK,NY,10016,212-289-7200,Manhattan,1,106,04,1017361,1008687502,,,-73.97931233756475,40.74988321351058,"(40.74988321351058, -73.97931233756475)"
0899744-DCA,03/31/2025,04/14/1997,Garage and Parking Lot,"Vehicle Spaces: 36, Bicycle Spaces:",COSMOPOLITAN PARKING CORP.,SAA,34,E 21ST ST,,NEW YORK,NY,10010,2122493344,Manhattan,1,105,2,1084663,1008490053,MN13,52,-73.98891079060768,40.73957251265653,"(40.73957251265653, -73.98891079060768)"
1222882-DCA,03/31/2025,04/06/2006,Garage,"Vehicle Spaces: 48, Bicycle Spaces:","50 EAST 79TH STREET CAR PARK, LLC",GGMC,50,E 79TH ST,,NEW YORK,NY,10075,2128790670,Manhattan,1,108,4,1041883,1013930052,MN40,142,-73.96161599460098,40.77609645836829,"(40.77609645836829, -73.96161599460098)"
2056044-DCA,03/31/2025,07/20/2017,Garage,"Vehicle Spaces: 54, Bicycle Spaces: 5",SP PLUS CORPORATION,,699,W END AVE,,NEW YORK,NY,10025,2125025490,Manhattan,1,107,06,1034136,1012520057,MN12,179,-73.97423890722479,40.793863886980645,"(40.793863886980645, -73.97423890722479)"
0888537-DCA,03/31/2025,03/07/1997,Garage,"Vehicle Spaces: 56, Bicycle Spaces: 5",SAFEWAY PARKING CORP.,,345,E 86TH ST,,NEW YORK,NY,10028,2124109603,Manhattan,1,108,5,1050030,1015490018,MN32,14602,-73.95063887095594,40.777417987056,"(40.777417987056, -73.95063887095594)"
2054358-DCA,03/31/2025,06/13/2017,Garage,"Vehicle Spaces: 128, Bicycle Spaces: 13",PARKSIDE GARAGE LLC,,125,PARKSIDE AVE,,BROOKLYN,NY,11226,212-686-9800,Brooklyn,3,314,40,3328161,3050520027,BK42,50804,-73.96510300549845,40.653612620822784,"(40.653612620822784, -73.96510300549845)"
2115151-DCA,03/31/2025,07/18/2023,Garage and Parking Lot,"Vehicle Spaces: 56, Bicycle Spaces: 6",333 EAST 34TH GARAGE LLC,,333,E 34TH ST,,NEW YORK,NY,10016,212-289-7200,Manhattan,1,106,04,1021903,1009407501,,,-73.97472722078362,40.74430496890765,"(40.74430496890765, -73.97472722078362)"
0365110-DCA,03/31/2025,04/17/1997,Parking Lot,"Vehicle Spaces: 63, Bicycle Spaces: 6","COMMERCIAL HOTEL, INC.",,9636,SPRINGFIELD BLVD,,QUEENS VILLAGE,NY,11429,7184686400,Queens,4,413,27,0,4000000000,QN34,568,-73.73535101255102,40.718150719308234,"(40.718150719308234, -73.73535101255102)"
2034905-DCA,03/31/2025,03/24/2016,Garage,"Vehicle Spaces: 60, Bicycle Spaces: 6",IMPARK 353 LLC,,353,4TH AVE,,BROOKLYN,NY,11215,2129378660,Brooklyn,3,306,39,3393449,3009817501,BK37,135,-73.98647766862432,40.67303093970253,"(40.67303093970253, -73.98647766862432)"
2054793-DCA,03/31/2025,06/21/2017,Garage,"Vehicle Spaces: 581, Bicycle Spaces: 24",SP PLUS CORPORATION,,1292,PARK AVE,,NEW YORK,NY,10029,2125025490,Manhattan,1,111,08,,,MN33,168,-73.95133865857356,40.78822705003492,"(40.78822705003492, -73.95133865857356)"
2101647-DCA,03/31/2025,09/21/2021,Garage,"Vehicle Spaces: 66, Bicycle Spaces: 7",CPW GARAGE LLC,,455,CENTRAL PARK W,,NEW YORK,NY,10025,2122897200,Manhattan,1,107,07,1081578,1018417503,,,-73.96011535593696,40.79793853232898,"(40.79793853232898, -73.96011535593696)"
0368238-DCA,03/31/2025,04/10/1997,Garage,"Vehicle Spaces: 80, Bicycle Spaces: 8",NEW YORK PARKING 56TH ST. CORP,,65,W 56TH ST,,NEW YORK,NY,10019,2123085959,Manhattan,1,105,4,1035037,1012720001,MN17,11201,-73.97641311026375,40.76312056238381,"(40.76312056238381, -73.97641311026375)"
1251169-DCA,03/31/2025,04/02/2007,Garage,"Vehicle Spaces: 50, Bicycle Spaces:",315 EAST 65TH PARKING LLC,,322,E 66TH ST,,NEW YORK,NY,10065,212-570-1732,Manhattan,1,108,5,1078376,1014400005,MN31,118,-73.96042768193381,40.764675194289836,"(40.764675194289836, -73.96042768193381)"
0906120-DCA,03/31/2025,04/10/1997,Garage,"Vehicle Spaces: 51, Bicycle Spaces: 5",OXFORD PARKING CORP.,,333,E 49TH ST,,NEW YORK,NY,10017,212-308-5959,Manhattan,1,106,5,1080442,1013420012,MN19,98,-73.96807874069368,40.75387699991748,"(40.75387699991748, -73.96807874069368)"
2114767-DCA,03/31/2025,06/29/2023,Garage,"Vehicle Spaces: 1265, Bicycle Spaces: 31",Rego Center Garage LLC,,9605,queens blvd,,REGO PARK,NY,11374,2128947000,Queens,4,406,24,4050422,4020880001,,,-73.86182417053554,40.73043794685661,"(40.73043794685661, -73.86182417053554)"
2063303-DCA,03/31/2025,12/14/2017,Parking Lot,"Vehicle Spaces: 34, Bicycle Spaces: 0",PPS 100 LLC,,124,W 31ST ST,,NEW YORK,NY,10001,212-360-6300,Manhattan,1,105,03,1000000,1008060056,MN17,101,-73.99008228809669,40.748276221978585,"(40.748276221978585, -73.99008228809669)"
0367984-DCA,03/31/2025,05/18/2006,Garage,"Vehicle Spaces: 129, Bicycle Spaces: 12",DISTINCTIVE PARKING LLC,,35,E 61ST ST,,NEW YORK,NY,10065,212-686-9800,Manhattan,1,108,4,1040855,1013760036,MN40,11401,-73.97014566672321,40.764702825040494,"(40.764702825040494, -73.97014566672321)"
2105919-DCA,03/31/2025,05/11/2022,Garage,"Vehicle Spaces: 445, Bicycle Spaces: 22",LTG PARKING CORP.,,165,W END AVE,,NEW YORK,NY,10023,212-686-9800,Manhattan,1,107,06,1070746,1011797501,,,-73.98652154333283,40.77701880522641,"(40.77701880522641, -73.98652154333283)"
1466051-DCA,03/31/2025,05/30/2013,Parking Lot,"Vehicle Spaces: 36, Bicycle Spaces:","FIRST PARKING SYSTEMS, CORP",,9010,SUTPHIN BLVD,,JAMAICA,NY,11435,3476566637,Queens,4,412,24,4000000,4096760022,QN61,240,-73.80829131707361,40.70263363008759,"(40.70263363008759, -73.80829131707361)"
1383249-DCA,03/31/2025,02/24/2011,Garage,"Vehicle Spaces: 149, Bicycle Spaces: 14",SP PLUS CORPORATION,,1360,FULTON ST,,BROOKLYN,NY,11216,2125025490,Brooklyn,3,303,36,3329709,3018620001,BK61,247,-73.94593010588461,40.680185635992274,"(40.680185635992274, -73.94593010588461)"
2043391-DCA,03/31/2025,09/07/2016,Garage,"Vehicle Spaces: 34, Bicycle Spaces: 0",AZ Parking Corp.,,35,W 33RD ST,,NEW YORK,NY,10001,9292940009,Manhattan,1,105,04,1084660,1008350015,MN17,76,-73.98621337110704,40.748270334370325,"(40.748270334370325, -73.98621337110704)"
1398370-DCA,03/31/2025,07/05/2011,Garage,"Vehicle Spaces: 21, Bicycle Spaces:",160 EAST 84TH STREET ASSOCIATES LLC,,160,E 84TH ST,,NEW YORK,NY,10028,2122797600,Manhattan,1,108,5,1047654,1015120040,MN40,140,-73.95587760505252,40.7778894620423,"(40.7778894620423, -73.95587760505252)"
1312446-DCA,03/31/2025,03/26/2009,Garage,"Vehicle Spaces: 31, Bicycle Spaces:",STELLMAR PARKING LLC,,27,E 65TH ST,,NEW YORK,NY,10065,212-879-8798,Manhattan,1,108,4,1041128,1013800023,MN40,122,-73.96844055824718,40.76725498013537,"(40.76725498013537, -73.96844055824718)"
2115139-DCA,03/31/2025,07/17/2023,Garage,"Vehicle Spaces: 142, Bicycle Spaces: 14",MP WEST 95 PARKING LLC,,70,W 95TH ST,,NEW YORK,NY,10025,2124903460,Manhattan,1,107,06,1079519,1012080001,,,-73.96748265531872,40.79195184670799,"(40.79195184670799, -73.96748265531872)"
2067580-DCA,03/31/2025,03/12/2018,Garage,"Vehicle Spaces: 70, Bicycle Spaces: 7",SP PLUS CORPORATION,,201,E 60TH ST,,NEW YORK,NY,10022,2126954568,Manhattan,1,108,04,1043547,1014157501,MN31,110,-73.96578620556566,40.762044702110565,"(40.762044702110565, -73.96578620556566)"
2096915-DCA,03/31/2025,11/13/2020,Garage,"Vehicle Spaces: 1265, Bicycle Spaces: 31","IMPERIAL PARKING (U.S.), LLC",,9605,QUEENS BLVD,,REGO PARK,NY,11374,2129378660,Queens,4,406,29,4050415,4020840101,,,-73.8624164534643,40.730169669701205,"(40.730169669701205, -73.8624164534643)"
2021747-DCA,03/31/2025,04/28/2015,Garage,"Vehicle Spaces: 70, Bicycle Spaces: 7",SP PLUS CORPORATION,,301,E 66TH ST,,NEW YORK,NY,10065,2125025490,Manhattan,1,108,05,1044738,1014417501,MN31,118,-73.96078857711855,40.76484549169191,"(40.76484549169191, -73.96078857711855)"
1192299-DCA,03/31/2025,04/01/2005,Garage,"Vehicle Spaces: 32, Bicycle Spaces:",85 JOHN STREET GARAGE LLC,,85,JOHN ST,,NEW YORK,NY,10038,2123859182,Manhattan,1,101,1,1001185,1000770001,MN25,1502,-74.00673409085468,40.708364955484,"(40.708364955484, -74.00673409085468)"
1461273-DCA,03/31/2025,04/01/2013,Garage,"Vehicle Spaces: 150, Bicycle Spaces: 15","IMPERIAL PARKING (U.S.), LLC",IMPARK,724-732,AVENUE OF THE AMERICAS,,NEW YORK,NY,10010,2129378660,Manhattan,1,105,03,1000000,1008250082,,,-73.99257310811807,40.74320960220436,"(40.74320960220436, -73.99257310811807)"
2055928-DCA,03/31/2025,07/18/2017,Garage and Parking Lot,"Vehicle Spaces: 194, Bicycle Spaces: 19",SP PLUS CORPORATION,,9844,57TH AVE,,CORONA,NY,11368,2125025490,Queens,4,404,21,4047329,4019180082,QN25,455,-73.86098918092571,40.7380838355146,"(40.7380838355146, -73.86098918092571)"
2075355-DCA,03/31/2025,07/10/2018,Garage,"Vehicle Spaces: 703, Bicycle Spaces: 25",SP PLUS CORPORATION,,2040,E TREMONT AVE,,BRONX,NY,10462,2125025490,Bronx,2,209,18,2097576,2039430205,BX46,21001,-73.85848092134542,40.8418784042078,"(40.8418784042078, -73.85848092134542)"
2105603-DCA,03/31/2025,04/27/2022,Garage,"Vehicle Spaces: 58, Bicycle Spaces: 7",125 W 58TH GARAGE LLC,,125,W 58TH ST,,NEW YORK,NY,10019,2122897200,Manhattan,1,105,04,1076843,1010117503,,,-73.977614434887,40.76538795902313,"(40.76538795902313, -73.977614434887)"
2001457-DCA,03/31/2025,12/10/2013,Garage,"Vehicle Spaces: 86, Bicycle Spaces: 10",CHAMPION PARKING MIDTOWN LLC,,224,E 39TH ST,,NEW YORK,NY,10016,212-308-5959,Manhattan,1,106,04,1020361,1009190042,MN20,78,-73.97474732269983,40.7483973944109,"(40.7483973944109, -73.97474732269983)"
2106459-DCA,03/31/2025,06/01/2022,Garage,"Vehicle Spaces: 61, Bicycle Spaces: 6",CHAMPION 16 LLC,,101,E 16TH ST,,NEW YORK,NY,10003,2123085959,Manhattan,1,105,02,1017819,1008720001,,,-73.98915316963569,40.73586711990034,"(40.73586711990034, -73.98915316963569)"
1213869-DCA,03/31/2025,05/17/2006,Garage,"Vehicle Spaces: 400, Bicycle Spaces: 22",BROADWAY & 64TH PARKING LLC,ICON PARKING,1900,BROADWAY,,NEW YORK,NY,10023,212-686-9800,Manhattan,1,107,6,1027472,1011160501,MN14,149,-73.98215055305542,40.771517756240904,"(40.771517756240904, -73.98215055305542)"
2069414-DCA,03/31/2025,04/13/2018,Garage,"Vehicle Spaces: 800, Bicycle Spaces: 26",RIVER PARK TOWERS GARAGE LLC,,55,RICHMAN PLZ,,BRONX,NY,10453,6465840409,Bronx,2,205,16,2116450,2028820229,BX36,53,-73.92230554575585,40.85219053269003,"(40.85219053269003, -73.92230554575585)"
2094858-DCA,03/31/2025,02/27/2020,Garage and Parking Lot,"Vehicle Spaces: 65, Bicycle Spaces: 7",PPS STANWIX LLC,,115,STANWIX ST,,BROOKLYN,NY,11206,2123606300,Brooklyn,3,304,34,3426343,3031390021,,,-73.9353125081528,40.70222889514506,"(40.70222889514506, -73.9353125081528)"
1370726-DCA,03/31/2025,09/14/2010,Garage,"Vehicle Spaces: 44, Bicycle Spaces:","BAS PARKING, INC.",,530,E 72ND ST,,NEW YORK,NY,10021,2126289447,Manhattan,1,108,5,1046259,1014830028,MN31,124,-73.95306566166602,40.766552578515366,"(40.766552578515366, -73.95306566166602)"
1414489-DCA,03/31/2025,12/01/2011,Garage,"Vehicle Spaces: 150, Bicycle Spaces: 15",ONE BEEKMAN GARAGE LLC,,443,E 49TH ST,,NEW YORK,NY,10017,2126887666,Manhattan,1,106,5,1000000,1013610023,MN19,8603,-73.96499702064426,40.75258058429668,"(40.75258058429668, -73.96499702064426)"
0959289-DCA,03/31/2025,04/25/1997,Garage,"Vehicle Spaces: 316, Bicycle Spaces: 21","919 THIRD AVENUE GARAGE COMPANY, LLC",,919,3RD AVE,,NEW YORK,NY,10022,2128887400,Manhattan,1,106,5,1038577,1013290001,MN19,108,-73.96833250581118,40.759136001913056,"(40.759136001913056, -73.96833250581118)"
